Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,34135
Total,34135

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
24/06/2019,18:30,SFDC,AccountManagement_V1_0.createAccount,11,295,595,387
24/06/2019,18:30,THBS,CheckNumber_V1_0.checkNumber,15,126,838,227
24/06/2019,18:30,THBS,Communication_V1_0.notifyCustomer,461,1038,1357,1074
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,26,1097,1315,1116
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,8,1064,1082,1073
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.depositToCard,8,916,1060,937
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.merchantSale,9,774,790,782
24/06/2019,18:30,THBS,ManagePrepaidCard_V1_0.validateCard,7,1882,1947,1893
24/06/2019,18:30,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,7,162,514,251
24/06/2019,18:30,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,31,164,2110,688
24/06/2019,18:30,THBS,WirelineManagement_V1_0.changeContract,1,245,245,245
24/06/2019,18:30,THBS,WirelineManagement_V1_0.changeSubscriber,3,169,311,217
24/06/2019,18:30,THBS,WirelineManagement_V1_0.createMemo,4,124,171,147
24/06/2019,18:30,THBS,WirelineManagement_V1_0.lineOrderStatus,2,1327,1356,1342
24/06/2019,18:30,THBS,WirelineManagement_V1_0.orderFulfillment,13,155,353,213
24/06/2019,18:30,THBS,WirelineManagement_V1_0.updateSubscriberDetails,3,170,193,178
24/06/2019,18:30,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,109,177,1082,372
24/06/2019,18:30,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,97,481,5113,756
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.addAddOn_2,4,1396,7671,3046
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,6,1023,1490,1243
24/06/2019,18:30,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,4,466,530,492
24/06/2019,18:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,4,224,520,365
24/06/2019,18:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,5,167,206,187
24/06/2019,18:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,3,50,95,67
24/06/2019,18:30,WorldPay,WorldPayNotification_V1_0.notify,59,22,30,25
24/06/2019,18:30,crm,PaymentManagement_V1_0.getOrderKey,63,741,825,751
24/06/2019,18:30,crm,PaymentManagement_V1_0.payment,113,1054,1108,1063
24/06/2019,18:30,crm,PaymentManagement_V1_0.refund,11,54,1050,596
24/06/2019,18:30,nokia,ManageHandsetDetails_1_0_Stubs.trigger,117,108,2852,227
24/06/2019,18:30,soaag,ABOXManagement_V1_0.changeStatus,3,146,176,160
24/06/2019,18:30,soaag,AmountCharging_1_0.chargeAmount,79,227,514,272
24/06/2019,18:30,soaag,AmountCharging_1_0.refundAmount,8,192,316,234
24/06/2019,18:30,soaag,BalanceManagement_1_0.balanceTopUp,703,228,1750,279
24/06/2019,18:30,soaag,BillPaymentManagement_V1_0.billPayment,3,296,1248,925
24/06/2019,18:30,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,86,669,806,682
24/06/2019,18:30,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,127,148,985,360
24/06/2019,18:30,soaag,CreditVettingFraud_V1_0.updateCreditDetails,9,35,2058,284
24/06/2019,18:30,soaag,CustomerCreation_V1_0.createAccount,2,999,1008,1004
24/06/2019,18:30,soaag,IDMManagement_V1_0.getContacts,130,1809,8975,3098
24/06/2019,18:30,soaag,IDMManagement_V1_0.login,1085,142,5100,266
24/06/2019,18:30,soaag,ManageTopUp_1_0.getCurrentBalance_1,222,98,320,120
24/06/2019,18:30,soaag,ManageTopUp_1_0.getTopUpHistory_1,207,353,667,420
24/06/2019,18:30,soaag,ManageTopUp_1_0.topUpBillContract_1,1,546,546,546
24/06/2019,18:30,soaag,ManageTopUp_1_0.topUp_2,259,151,1820,299
24/06/2019,18:30,soaag,ManageUpgrade_1_0.getUpgradeEligibility,20,109,541,209
24/06/2019,18:30,soaag,PaymentManagement_V1_0.getTokenizedCard,6,311,728,414
24/06/2019,18:30,soaag,PaymentManagement_V1_0.validateBankAccount,5,86,309,144
24/06/2019,18:30,soaag,ReserveAmountCharging_1_0.chargeReservation,10,186,219,205
24/06/2019,18:30,soaag,ReserveAmountCharging_1_0.releaseReservation,9,79,262,124
24/06/2019,18:30,soaag,ReserveAmountCharging_1_0.reserveAmount,11,167,219,188
24/06/2019,18:30,thbs,AccountManagement_V1_0.getAccount,108,377,5314,702
24/06/2019,18:30,thbs,AccountManagement_V1_0.getContacts,70,272,5249,617
24/06/2019,18:30,thbs,BillingManagement_V1_0.billingAccount,8,102,292,131
24/06/2019,18:30,thbs,ContactManagement_V1_0.createContact,80,121,5526,329
24/06/2019,18:30,thbs,ContactManagement_V1_0.getContact,6543,109,5815,208
24/06/2019,18:30,thbs,ContactManagement_V1_0.updateContact,12,112,386,165
