Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,182242
Total,182242

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
03/07/2019,07:15,THBS,Communication_V1_0.notifyCustomer,2,1133,1209,1171
03/07/2019,07:15,oxygen8,Charge_1_0.directDebit,1,2806,2806,2806
03/07/2019,07:15,test111,BalanceManagement_1_0.balance,4,573,625,604
03/07/2019,07:15,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,2,3247,3252,3250
03/07/2019,07:15,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,2,134,144,139
03/07/2019,07:15,thbs,BillingManagement_V1_0.billingAccount,1,714,714,714
03/07/2019,07:15,thbs,CheckTransaction_V1_0.checkTransaction,3,6981,6986,6984
03/07/2019,07:15,thbs,OrderManagement_V1_0.updateOrderDetails,1,16439,16439,16439
03/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.getOrder,3,2918,3080,2972
03/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,2,4618,4623,4620
03/07/2019,07:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,4,9135,13355,11830
03/07/2019,07:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,4,12920,14055,13326
03/07/2019,07:15,worldPay,WorldPayNotification_V1_0.notify,4,155,209,186
03/07/2019,08:45,THBS,Communication_V1_0.notifyCustomer,2,1841,1848,1844
03/07/2019,08:45,oxygen8,Charge_1_0.directDebit,2,23210,23236,23223
03/07/2019,08:45,test111,BalanceManagement_1_0.balance,4,4080,4117,4090
03/07/2019,08:45,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,3,3349,3373,3361
03/07/2019,08:45,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,2,1133,1146,1140
03/07/2019,08:45,thbs,BillingManagement_V1_0.billingAccount,2,10686,10694,10690
03/07/2019,08:45,thbs,OrderManagement_V1_0.updateOrderDetails,4,9792,9792,9792
03/07/2019,08:45,thbs,ProductOrderingManagement_V1_0.getOrder,3,4805,10101,6571
03/07/2019,08:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,4,11100,12096,11351
03/07/2019,08:45,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,1,12731,12731,12731
03/07/2019,08:45,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,23967,23967,23967
03/07/2019,08:45,worldPay,WorldPayNotification_V1_0.notify,2,13540,13540,13540
03/07/2019,09:00,SFDC,AccountManagement_V1_0.createAccount,3,433,1430,1079
03/07/2019,09:00,THBS,CheckNumber_V1_0.checkNumber,3,287,3830,1471
03/07/2019,09:00,THBS,Communication_V1_0.notifyCustomer,18,1121,2543,1351
03/07/2019,09:00,oxygen8,Charge_1_0.directDebit,1,4007,4007,4007
03/07/2019,09:00,soaag,PaymentManagement_V1_0.validateBankAccount,2,643,2008,1326
03/07/2019,09:00,test111,AmountCharging_1_0.chargeAmount,7,755,2267,1301
03/07/2019,09:00,test111,AmountCharging_1_0.refundAmount,1,777,777,777
03/07/2019,09:00,test111,BalanceManagement_1_0.balance,2,589,596,592
03/07/2019,09:00,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,4,3181,3323,3242
03/07/2019,09:00,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,17,56,160,85
03/07/2019,09:00,thbs,BillingManagement_V1_0.billingAccount,2,727,733,730
03/07/2019,09:00,thbs,CheckTransaction_V1_0.checkTransaction,5,1185,4170,1824
03/07/2019,09:00,thbs,OrderManagement_V1_0.updateOrderDetails,3,2144,3477,2638
03/07/2019,09:00,thbs,ProductOrderingManagement_V1_0.getOrder,2,2781,2889,2835
03/07/2019,09:00,thbs,ProductOrderingManagement_V1_0.modifyOrder,2,4680,4748,4714
03/07/2019,09:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,7,5065,13796,7218
03/07/2019,09:00,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,6,3166,9897,5089
03/07/2019,09:00,thbs,SubscriptionManagement_V1_0.getSubscription,1,2954,2954,2954
03/07/2019,09:00,worldPay,WorldPayNotification_V1_0.notify,3,171,193,179
03/07/2019,09:15,SFDC,AccountManagement_V1_0.createAccount,35,310,3283,574
03/07/2019,09:15,THBS,CheckNumber_V1_0.checkNumber,71,160,2053,292
03/07/2019,09:15,THBS,Communication_V1_0.notifyCustomer,531,1078,2604,1108
03/07/2019,09:15,oxygen8,Charge_1_0.directDebit,77,869,14968,1401
03/07/2019,09:15,soaag,PaymentManagement_V1_0.validateBankAccount,16,578,624,610
03/07/2019,09:15,test111,AmountCharging_1_0.chargeAmount,251,706,2154,750
03/07/2019,09:15,test111,AmountCharging_1_0.refundAmount,33,363,645,434
03/07/2019,09:15,test111,BalanceManagement_1_0.balance,68,537,1782,573
03/07/2019,09:15,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,34,3149,3255,3175
03/07/2019,09:15,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,422,43,1355,72
03/07/2019,09:15,thbs,BillingManagement_V1_0.billingAccount,16,649,1496,717
03/07/2019,09:15,thbs,CheckTransaction_V1_0.checkTransaction,98,1129,2441,1199
03/07/2019,09:15,thbs,OrderManagement_V1_0.updateOrderDetails,67,2097,7158,2300
03/07/2019,09:15,thbs,ProductOrderingManagement_V1_0.getOrder,35,2723,3102,2759
03/07/2019,09:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,27,4554,4667,4585
03/07/2019,09:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,215,4585,17958,4966
03/07/2019,09:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,129,3071,15608,3351
03/07/2019,09:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,17,4802,6275,5201
03/07/2019,09:15,thbs,SubscriptionManagement_V1_0.getSubscription,137,2602,16512,2853
03/07/2019,09:15,worldPay,WorldPayNotification_V1_0.notify,171,103,1866,133
03/07/2019,09:30,SFDC,AccountManagement_V1_0.createAccount,44,303,831,342
03/07/2019,09:30,THBS,CheckNumber_V1_0.checkNumber,69,154,1464,245
03/07/2019,09:30,THBS,Communication_V1_0.notifyCustomer,476,1074,2490,1099
03/07/2019,09:30,oxygen8,Charge_1_0.directDebit,72,859,2147,1066
03/07/2019,09:30,soaag,PaymentManagement_V1_0.validateBankAccount,19,575,870,613
03/07/2019,09:30,test111,AmountCharging_1_0.chargeAmount,226,705,1252,734
03/07/2019,09:30,test111,AmountCharging_1_0.refundAmount,38,362,961,421
03/07/2019,09:30,test111,BalanceManagement_1_0.balance,70,535,579,548
03/07/2019,09:30,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,33,3145,3190,3166
03/07/2019,09:30,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,425,42,1376,68
03/07/2019,09:30,thbs,BillingManagement_V1_0.billingAccount,19,623,738,650
03/07/2019,09:30,thbs,CheckTransaction_V1_0.checkTransaction,109,1123,1683,1160
03/07/2019,09:30,thbs,OrderManagement_V1_0.updateOrderDetails,67,2098,3302,2155
03/07/2019,09:30,thbs,ProductOrderingManagement_V1_0.getOrder,37,2720,2846,2740
03/07/2019,09:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,26,4553,4807,4586
03/07/2019,09:30,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,194,4561,6071,4723
03/07/2019,09:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,121,3063,4381,3179
03/07/2019,09:30,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,19,4790,5814,5059
03/07/2019,09:30,thbs,SubscriptionManagement_V1_0.getSubscription,117,2597,3593,2669
03/07/2019,09:30,worldPay,WorldPayNotification_V1_0.notify,162,100,1236,120
03/07/2019,09:45,SFDC,AccountManagement_V1_0.createAccount,43,300,5592,480
03/07/2019,09:45,THBS,CheckNumber_V1_0.checkNumber,70,156,7095,371
03/07/2019,09:45,THBS,Communication_V1_0.notifyCustomer,454,1075,3203,1094
03/07/2019,09:45,oxygen8,Charge_1_0.directDebit,61,856,2265,1060
03/07/2019,09:45,soaag,PaymentManagement_V1_0.validateBankAccount,23,578,615,596
03/07/2019,09:45,test111,AmountCharging_1_0.chargeAmount,221,700,2615,731
03/07/2019,09:45,test111,AmountCharging_1_0.refundAmount,34,352,2513,506
03/07/2019,09:45,test111,BalanceManagement_1_0.balance,67,536,584,544
03/07/2019,09:45,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,34,3149,3191,3164
03/07/2019,09:45,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,407,42,1247,62
03/07/2019,09:45,thbs,BillingManagement_V1_0.billingAccount,18,621,1230,674
03/07/2019,09:45,thbs,CheckTransaction_V1_0.checkTransaction,97,1124,1455,1153
03/07/2019,09:45,thbs,OrderManagement_V1_0.updateOrderDetails,67,2096,3389,2147
03/07/2019,09:45,thbs,ProductOrderingManagement_V1_0.getOrder,33,2713,2995,2743
03/07/2019,09:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,32,4548,5099,4585
03/07/2019,09:45,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,202,4571,17852,4800
03/07/2019,09:45,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,114,3065,10856,3238
03/07/2019,09:45,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,13,4799,6324,5131
03/07/2019,09:45,thbs,SubscriptionManagement_V1_0.getSubscription,123,2598,4223,2660
03/07/2019,09:45,worldPay,WorldPayNotification_V1_0.notify,162,100,171,109
03/07/2019,10:00,SFDC,AccountManagement_V1_0.createAccount,29,301,516,334
03/07/2019,10:00,THBS,CheckNumber_V1_0.checkNumber,66,157,2857,307
03/07/2019,10:00,THBS,Communication_V1_0.notifyCustomer,284,1074,6599,1118
03/07/2019,10:00,oxygen8,Charge_1_0.directDebit,60,855,2198,1034
03/07/2019,10:00,soaag,PaymentManagement_V1_0.validateBankAccount,23,575,661,601
03/07/2019,10:00,test111,AmountCharging_1_0.chargeAmount,217,701,5962,766
03/07/2019,10:00,test111,AmountCharging_1_0.refundAmount,33,359,604,420
03/07/2019,10:00,test111,BalanceManagement_1_0.balance,57,535,580,551
03/07/2019,10:00,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,33,3151,7724,3315
03/07/2019,10:00,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,373,41,121,51
03/07/2019,10:00,thbs,BillingManagement_V1_0.billingAccount,19,627,669,651
03/07/2019,10:00,thbs,CheckTransaction_V1_0.checkTransaction,112,1121,1240,1153
03/07/2019,10:00,thbs,OrderManagement_V1_0.updateOrderDetails,28,2096,3134,2164
03/07/2019,10:00,thbs,ProductOrderingManagement_V1_0.getOrder,24,2719,2748,2733
03/07/2019,10:00,thbs,ProductOrderingManagement_V1_0.modifyOrder,27,4547,4613,4570
03/07/2019,10:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,132,4563,5778,4653
