Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,116249
Total,116249

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
18/06/2019,07:45,fcgfh,WirelineManagement_V1_0.lineCapabilities,1,3604,3604,3604
18/06/2019,07:45,thbs,Communication_V1_0.notifyCustomer,2,349,3567,1958
18/06/2019,08:30,oxygen8,Charge_1_0.directDebit,1,50853,50853,50853
18/06/2019,08:30,soaag,Charge_1_0.directDebit,1,3024,3024,3024
18/06/2019,08:45,oxygen8,Charge_1_0.directDebit,1,23462,23462,23462
18/06/2019,11:00,SFDC,AccountManagement_V1_0.createAccount,4,7664,20833,17105
18/06/2019,11:00,THBS,CheckNumber_V1_0.checkNumber,4,1213,14336,6936
18/06/2019,11:00,THBS,Communication_V1_0.notifyCustomer,7,1129,30092,5729
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,8,1199,24274,7564
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,5,864,21149,6007
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.depositToCard,9,948,29657,10277
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.merchantSale,8,826,29617,8038
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.validateCard,5,1625,22377,7867
18/06/2019,11:00,THBS,WirelineManagement_V1_0.changeContract,4,9501,23422,15265
18/06/2019,11:00,THBS,WirelineManagement_V1_0.changeSubscriber,6,14491,24551,16726
18/06/2019,11:00,THBS,WirelineManagement_V1_0.lineCapabilities,10,1376,41466,7472
18/06/2019,11:00,THBS,WirelineManagement_V1_0.lineOrderStatus,10,1460,31310,6728
18/06/2019,11:00,THBS,WirelineManagement_V1_0.orderFulfillment,4,11267,21397,15861
18/06/2019,11:00,THBS,WirelineManagement_V1_0.updateSubscriberDetails,4,14407,26661,17962
18/06/2019,11:00,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,4,13914,20313,17283
18/06/2019,11:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,4,377,6998,3074
18/06/2019,11:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,10,1473,25932,5948
18/06/2019,11:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,7,125,17697,5563
18/06/2019,11:00,WorldPay,WorldPayNotification_V1_0.notify,6,39,177,64
18/06/2019,11:00,crm,PaymentManagement_V1_0.getOrderKey,8,783,6384,1978
18/06/2019,11:00,crm,PaymentManagement_V1_0.payment,8,1103,27834,5149
18/06/2019,11:00,crm,PaymentManagement_V1_0.refund,5,1107,6014,2725
18/06/2019,11:00,nokia,ManageHandsetDetails_1_0_Stubs.trigger,9,568,33341,10018
18/06/2019,11:00,soaag,ABOXManagement_V1_0.changeStatus,5,12614,45358,26065
18/06/2019,11:00,soaag,BalanceManagement_1_0.balanceTopUp,6,1041,15300,3898
18/06/2019,11:00,soaag,BillPaymentManagement_V1_0.billPayment,10,2177,26262,10611
18/06/2019,11:00,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,5,711,1536,975
18/06/2019,11:00,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,6,11780,34005,21244
18/06/2019,11:00,soaag,CreditVettingFraud_V1_0.updateCreditDetails,7,1674,47485,19556
18/06/2019,11:00,soaag,CustomerCreation_V1_0.createAccount,10,1027,4172,1966
18/06/2019,11:00,soaag,IDMManagement_V1_0.login,5,515,13019,8543
18/06/2019,11:00,soaag,ManageTopUp_1_0.getCurrentBalance_1,7,698,8099,1921
18/06/2019,11:00,soaag,ManageTopUp_1_0.getTopUpHistory_1,8,938,3329,1844
18/06/2019,11:00,soaag,ManageTopUp_1_0.topUpBillContract_1,7,1993,10563,3392
18/06/2019,11:00,soaag,ManageTopUp_1_0.topUp_2,8,1208,7581,3184
18/06/2019,11:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,10,8624,113313,39116
18/06/2019,11:00,soaag,PaymentManagement_V1_0.getTokenizedCard,3,20538,22158,21170
18/06/2019,11:00,soaag,PaymentManagement_V1_0.validateBankAccount,5,337,39928,8530
18/06/2019,11:00,thbs,AccountManagement_V1_0.getAccount,7,16380,28458,22815
18/06/2019,11:00,thbs,AccountManagement_V1_0.getContacts,8,2691,47129,15867
18/06/2019,11:00,thbs,BillingManagement_V1_0.billingAccount,8,652,26297,7006
18/06/2019,11:00,thbs,ContactManagement_V1_0.createContact,2,9933,12997,11465
18/06/2019,11:00,thbs,ContactManagement_V1_0.getContact,8,4454,28625,15508
18/06/2019,11:00,thbs,ContactManagement_V1_0.updateContact,7,2439,29618,14021
18/06/2019,11:00,thbs,CustomerBillManagement_V1_0.customerBill,8,1646,36941,8016
