
SunOS ieo2wlzsoax02 5.10 Generic_150400-10 sun4v    06/20/2019

00:00:00    %usr    %sys    %wio   %idle
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             2     0.2       7     714     0.0    31.7
           sd6,h             2     0.0       1       1     0.0    15.8
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
           ehci0,to          0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0
           ohci1,bu          0     0.0       0       0     0.0     0.0
           ohci1,ct          0     0.0       0       0     0.0     0.0
           ohci1,in          0     0.0       0       0     0.0     0.0
           ohci1,is          0     0.0       0       0     0.0     0.0
           ohci1,to          0     0.0       0       0     0.0     0.0

03:00:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       1     9.9    11.9
           md31              0     0.0       0       1     0.0    10.6
           md32              0     0.0       0       1     0.0    10.7
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0    10.0
           md51              0     0.0       0       1     0.0     9.9
           md52              0     0.0       0       0     0.0     0.0
           md60              1     0.0       3      31     5.2    12.6
           md61              1     0.0       2      30     0.0    11.1
           md62              1     0.0       2      30     0.0    11.1
           md65              1     0.0       1      17     0.0    20.3
           md66              1     0.0       1      14     0.0    15.7
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   13703  122292     0.0     0.0
           sd6.t2.m          0     0.0   12893  117686     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd5               2     0.0       4      34     0.0    11.9
           sd5,a             0     0.0       6       2     0.0     0.0
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0      12       2     0.0     0.0
           sd5,d             0     0.0       0       1     0.0    10.6
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       1     0.0     9.9
           sd5,g             1     0.0       2      30     0.0    11.0
           sd5,h             1     0.0       1       1     0.0    14.8
           sd6               2     0.0       4      32     0.0    11.9
           sd6,a             0     0.0       6       2     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0      12       2     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    10.7
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             1     0.0       2      30     0.0    11.1
           sd6,h             1     0.0       1       1     0.0    14.2
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
           ehci0,to          0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0
           ohci1,bu          0     0.0       0       0     0.0     0.0
           ohci1,ct          0     0.0       0       0     0.0     0.0
           ohci1,in          0     0.0       0       0     0.0     0.0
           ohci1,is          0     0.0       0       0     0.0     0.0
           ohci1,to          0     0.0       0       0     0.0     0.0

04:00:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       1     9.9    12.0
           md31              0     0.0       0       1     0.0    10.9
           md32              0     0.0       0       1     0.0    10.8
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0    10.6
           md51              0     0.0       0       1     0.0    10.6
           md52              0     0.0       0       0     0.0     0.0
           md60              1     0.0       3      48     4.3    11.5
           md61              1     0.0       3      47     0.0    10.0
           md62              1     0.0       3      47     0.0    10.0
           md65              1     0.0       1      28     0.0    17.6
           md66              1     0.0       2      20     0.0    14.3
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   14958  184632     0.0     0.0
           sd6.t2.m          0     0.0   14132  179820     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
