Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,142365
Total,142365

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
21/06/2019,04:45,soaag,AmountCharging_1_0.chargeAmount,2,500,562,531
21/06/2019,05:00,soaag,AmountCharging_1_0.refundAmount,3,374,1027,624
21/06/2019,05:00,soaag,ReserveAmountCharging_1_0.reserveAmount,393,327,2298,389
21/06/2019,05:15,SFDC,AccountManagement_V1_0.createAccount,5,5552,9975,8404
21/06/2019,05:15,THBS,CheckNumber_V1_0.checkNumber,7,1428,32588,21132
21/06/2019,05:15,THBS,Communication_V1_0.notifyCustomer,4,1093,1441,1214
21/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,7,1103,1241,1169
21/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,5,1097,1495,1212
21/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.depositToCard,6,937,1090,987
21/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.merchantSale,5,786,912,839
21/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.validateCard,6,1902,2137,2019
21/06/2019,05:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,4,3600,21510,14062
21/06/2019,05:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,6,11909,30761,21295
21/06/2019,05:15,THBS,WirelineManagement_V1_0.changeContract,3,5678,21991,14913
21/06/2019,05:15,THBS,WirelineManagement_V1_0.changeSubscriber,5,5639,22008,14426
21/06/2019,05:15,THBS,WirelineManagement_V1_0.createMemo,6,151,2761,950
21/06/2019,05:15,THBS,WirelineManagement_V1_0.lineCapabilities,6,1239,2757,1523
21/06/2019,05:15,THBS,WirelineManagement_V1_0.lineOrderStatus,5,1315,1603,1400
21/06/2019,05:15,THBS,WirelineManagement_V1_0.orderFulfillment,4,11899,21763,15363
21/06/2019,05:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,6,8033,23350,14336
21/06/2019,05:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,7,3258,18206,11358
21/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,5,29137,37055,32803
21/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,4,25382,32088,29955
21/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,7,20839,36095,27468
21/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,3,355,14789,5171
21/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,6,1227,2598,2114
21/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,6,113,809,378
21/06/2019,05:15,WorldPay,WorldPayNotification_V1_0.notify,7,28,49,35
21/06/2019,05:15,crm,PaymentManagement_V1_0.getOrderKey,5,763,805,786
21/06/2019,05:15,crm,PaymentManagement_V1_0.payment,5,1077,1265,1141
21/06/2019,05:15,crm,PaymentManagement_V1_0.refund,5,1086,3100,2024
21/06/2019,05:15,nokia,ManageHandsetDetails_1_0_Stubs.trigger,7,166,1285,760
21/06/2019,05:15,soaag,ABOXManagement_V1_0.changeStatus,7,2815,20926,14169
21/06/2019,05:15,soaag,AmountCharging_1_0.chargeAmount,1,562,562,562
21/06/2019,05:15,soaag,AmountCharging_1_0.refundAmount,3,381,476,429
21/06/2019,05:15,soaag,BalanceManagement_1_0.balanceTopUp,4,1007,4059,2656
21/06/2019,05:15,soaag,BillPaymentManagement_V1_0.billPayment,10,2097,10228,4556
21/06/2019,05:15,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,5,693,732,704
21/06/2019,05:15,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,4,3864,18171,10062
21/06/2019,05:15,soaag,CreditVettingFraud_V1_0.updateCreditDetails,3,1067,2175,1497
21/06/2019,05:15,soaag,CustomerCreation_V1_0.createAccount,6,1022,1378,1141
21/06/2019,05:15,soaag,IDMManagement_V1_0.getContacts,4,28502,31310,29708
21/06/2019,05:15,soaag,IDMManagement_V1_0.login,5,374,7433,3811
21/06/2019,05:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,5,691,3664,1876
21/06/2019,05:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,5,927,1060,1000
21/06/2019,05:15,soaag,ManageTopUp_1_0.topUpBillContract_1,10,1873,7368,3704
21/06/2019,05:15,soaag,ManageTopUp_1_0.topUp_2,7,1072,1337,1184
21/06/2019,05:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,4,7329,21121,15879
21/06/2019,05:15,soaag,PaymentManagement_V1_0.getTokenizedCard,6,6049,21654,11583
21/06/2019,05:15,soaag,PaymentManagement_V1_0.validateBankAccount,8,626,1742,1085
21/06/2019,05:15,soaag,ReserveAmountCharging_1_0.chargeReservation,1,639,639,639
21/06/2019,05:15,soaag,ReserveAmountCharging_1_0.releaseReservation,5,415,2276,837
21/06/2019,05:15,soaag,ReserveAmountCharging_1_0.reserveAmount,3,531,681,582
21/06/2019,05:15,thbs,AccountManagement_V1_0.getAccount,6,5851,10813,9495
21/06/2019,05:15,thbs,AccountManagement_V1_0.getContacts,5,4175,5745,4831
21/06/2019,05:15,thbs,BillingManagement_V1_0.billingAccount,3,645,3065,1452
21/06/2019,05:15,thbs,ContactManagement_V1_0.createContact,6,1224,7171,4976
21/06/2019,05:15,thbs,ContactManagement_V1_0.getContact,3,5242,7953,6609
21/06/2019,05:15,thbs,ContactManagement_V1_0.updateContact,6,1431,6460,4902
21/06/2019,05:15,thbs,CustomerBillManagement_V1_0.customerBill,6,1230,4011,2006
21/06/2019,05:15,thbs,ManageOrderShipment_V1_0.createShipment,7,1071,1145,1102
21/06/2019,05:15,thbs,NumberPortability_V1_0.portIn,7,1534,1919,1623
21/06/2019,05:15,thbs,OrderManagement_V1_0.updateOrderDetails,6,2082,4444,2897
21/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,4,4690,10121,6875
21/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,15,1109,13676,6544
21/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,5,4180,14993,6841
21/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,7,2894,7366,4580
21/06/2019,05:15,thbs,ProductOrderingManagement_V1_0.createOrder,7,100,151,133
21/06/2019,05:15,thbs,ProductOrderingManagement_V1_0.getOrder,7,4241,31637,21396
21/06/2019,05:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,22,5526,35494,24018
21/06/2019,05:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,9,7433,28131,19662
21/06/2019,05:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,7,8234,29220,22121
21/06/2019,05:15,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,6,20769,27681,22842
21/06/2019,05:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,3,15098,21652,17405
21/06/2019,05:15,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,6,14294,30933,24252
21/06/2019,05:15,thbs,SubscriptionManagement_V1_0.changeStatus,9,1186,21386,10861
21/06/2019,05:15,thbs,SubscriptionManagement_V1_0.getAccount,6,8812,29454,21868
21/06/2019,05:15,thbs,SubscriptionManagement_V1_0.getContact,6,3488,18964,11142
21/06/2019,05:15,thbs,SubscriptionManagement_V1_0.getSubscription,6,5171,22577,16400
21/06/2019,05:15,thbs,SubscriptionManagement_V1_0.setContact,2,852,15418,8135
21/06/2019,05:15,thbs,UsageConsumption_V1_0_Stubs.usageConsumptionReport,7,421,573,483
21/06/2019,05:15,three,ManagePrepaidBalance_1_0.lendMe,7,20917,41070,34555
21/06/2019,05:30,SFDC,AccountManagement_V1_0.createAccount,3,4586,6021,5299
21/06/2019,05:30,THBS,CheckNumber_V1_0.checkNumber,2,11489,15127,13308
21/06/2019,05:30,THBS,Communication_V1_0.notifyCustomer,2,1118,1118,1118
21/06/2019,05:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,3,1126,1157,1144
21/06/2019,05:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,4,1106,1118,1114
21/06/2019,05:30,THBS,ManagePrepaidCard_V1_0.depositToCard,2,935,959,947
21/06/2019,05:30,THBS,ManagePrepaidCard_V1_0.merchantSale,2,828,833,830
21/06/2019,05:30,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,3,13004,20191,15702
21/06/2019,05:30,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,3,20512,25732,22878
21/06/2019,05:30,THBS,WirelineManagement_V1_0.changeContract,3,12980,21238,17298
21/06/2019,05:30,THBS,WirelineManagement_V1_0.changeSubscriber,3,12958,18155,15948
21/06/2019,05:30,THBS,WirelineManagement_V1_0.createMemo,2,433,2234,1334
21/06/2019,05:30,THBS,WirelineManagement_V1_0.lineOrderStatus,4,1299,2017,1492
