Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,483505
Total,483505

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
04/07/2019,07:15,THBS,Communication_V1_0.notifyCustomer,2,1133,1209,1171
04/07/2019,07:15,oxygen8,Charge_1_0.directDebit,1,2806,2806,2806
04/07/2019,07:15,test111,BalanceManagement_1_0.balance,4,573,625,604
04/07/2019,07:15,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,2,3247,3252,3250
04/07/2019,07:15,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,2,134,144,139
04/07/2019,07:15,thbs,BillingManagement_V1_0.billingAccount,1,714,714,714
04/07/2019,07:15,thbs,CheckTransaction_V1_0.checkTransaction,3,6981,6986,6984
04/07/2019,07:15,thbs,OrderManagement_V1_0.updateOrderDetails,1,16439,16439,16439
04/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.getOrder,3,2918,3080,2972
04/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,2,4618,4623,4620
04/07/2019,07:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,4,9135,13355,11830
04/07/2019,07:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,4,12920,14055,13326
04/07/2019,07:15,worldPay,WorldPayNotification_V1_0.notify,4,155,209,186
04/07/2019,08:45,THBS,Communication_V1_0.notifyCustomer,2,1841,1848,1844
04/07/2019,08:45,oxygen8,Charge_1_0.directDebit,2,23210,23236,23223
04/07/2019,08:45,test111,BalanceManagement_1_0.balance,4,4080,4117,4090
04/07/2019,08:45,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,3,3349,3373,3361
04/07/2019,08:45,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,2,1133,1146,1140
04/07/2019,08:45,thbs,BillingManagement_V1_0.billingAccount,2,10686,10694,10690
04/07/2019,08:45,thbs,OrderManagement_V1_0.updateOrderDetails,4,9792,9792,9792
04/07/2019,08:45,thbs,ProductOrderingManagement_V1_0.getOrder,3,4805,10101,6571
04/07/2019,08:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,4,11100,12096,11351
04/07/2019,08:45,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,1,12731,12731,12731
04/07/2019,08:45,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,23967,23967,23967
04/07/2019,08:45,worldPay,WorldPayNotification_V1_0.notify,2,13540,13540,13540
04/07/2019,09:00,SFDC,AccountManagement_V1_0.createAccount,3,433,1430,1079
04/07/2019,09:00,THBS,CheckNumber_V1_0.checkNumber,3,287,3830,1471
04/07/2019,09:00,THBS,Communication_V1_0.notifyCustomer,18,1121,2543,1351
04/07/2019,09:00,oxygen8,Charge_1_0.directDebit,1,4007,4007,4007
04/07/2019,09:00,soaag,PaymentManagement_V1_0.validateBankAccount,2,643,2008,1326
04/07/2019,09:00,test111,AmountCharging_1_0.chargeAmount,7,755,2267,1301
04/07/2019,09:00,test111,AmountCharging_1_0.refundAmount,1,777,777,777
04/07/2019,09:00,test111,BalanceManagement_1_0.balance,2,589,596,592
04/07/2019,09:00,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,4,3181,3323,3242
04/07/2019,09:00,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,17,56,160,85
04/07/2019,09:00,thbs,BillingManagement_V1_0.billingAccount,2,727,733,730
04/07/2019,09:00,thbs,CheckTransaction_V1_0.checkTransaction,5,1185,4170,1824
04/07/2019,09:00,thbs,OrderManagement_V1_0.updateOrderDetails,3,2144,3477,2638
04/07/2019,09:00,thbs,ProductOrderingManagement_V1_0.getOrder,2,2781,2889,2835
04/07/2019,09:00,thbs,ProductOrderingManagement_V1_0.modifyOrder,2,4680,4748,4714
04/07/2019,09:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,7,5065,13796,7218
04/07/2019,09:00,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,6,3166,9897,5089
04/07/2019,09:00,thbs,SubscriptionManagement_V1_0.getSubscription,1,2954,2954,2954
04/07/2019,09:00,worldPay,WorldPayNotification_V1_0.notify,3,171,193,179
04/07/2019,09:15,SFDC,AccountManagement_V1_0.createAccount,35,310,3283,574
04/07/2019,09:15,THBS,CheckNumber_V1_0.checkNumber,71,160,2053,292
04/07/2019,09:15,THBS,Communication_V1_0.notifyCustomer,531,1078,2604,1108
04/07/2019,09:15,oxygen8,Charge_1_0.directDebit,77,869,14968,1401
04/07/2019,09:15,soaag,PaymentManagement_V1_0.validateBankAccount,16,578,624,610
04/07/2019,09:15,test111,AmountCharging_1_0.chargeAmount,251,706,2154,750
04/07/2019,09:15,test111,AmountCharging_1_0.refundAmount,33,363,645,434
04/07/2019,09:15,test111,BalanceManagement_1_0.balance,68,537,1782,573
04/07/2019,09:15,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,34,3149,3255,3175
04/07/2019,09:15,test111,O2IE_ManageCheckPoint_1_0.getCustomerIdentityDetails_1,422,43,1355,72
04/07/2019,09:15,thbs,BillingManagement_V1_0.billingAccount,16,649,1496,717
04/07/2019,09:15,thbs,CheckTransaction_V1_0.checkTransaction,98,1129,2441,1199
04/07/2019,09:15,thbs,OrderManagement_V1_0.updateOrderDetails,67,2097,7158,2300
04/07/2019,09:15,thbs,ProductOrderingManagement_V1_0.getOrder,35,2723,3102,2759
04/07/2019,09:15,thbs,ProductOrderingManagement_V1_0.modifyOrder,27,4554,4667,4585
04/07/2019,09:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,215,4585,17958,4966
04/07/2019,09:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,129,3071,15608,3351
04/07/2019,09:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,17,4802,6275,5201
04/07/2019,09:15,thbs,SubscriptionManagement_V1_0.getSubscription,137,2602,16512,2853
04/07/2019,09:15,worldPay,WorldPayNotification_V1_0.notify,171,103,1866,133
04/07/2019,09:30,SFDC,AccountManagement_V1_0.createAccount,44,303,831,342
04/07/2019,09:30,THBS,CheckNumber_V1_0.checkNumber,69,154,1464,245
04/07/2019,09:30,THBS,Communication_V1_0.notifyCustomer,476,1074,2490,1099
