Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,120702
Total,120702

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
18/06/2019,07:30,three,Communication_V1_0.notifyCustomer,1,3553,3553,3553
18/06/2019,07:45,abc,WirelineManagement_V1_0.lineOrderStatus,1,2941,2941,2941
18/06/2019,07:45,thbs,WirelineManagement_V1_0.lineCapabilities,1,3099,3099,3099
18/06/2019,07:45,thbs,WirelineManagement_V1_0.lineOrderStatus,1,4266,4266,4266
18/06/2019,08:00,fcgfh,WirelineManagement_V1_0.lineCapabilities,1,1246,1246,1246
18/06/2019,08:30,oxygen8,Charge_1_0.directDebit,1,50029,50029,50029
18/06/2019,08:45,oxygen8,Charge_1_0.directDebit,2,18212,25239,21726
18/06/2019,10:00,soaag,ReserveAmountCharging_1_0.reserveAmount,1,6196,6196,6196
18/06/2019,10:15,soaag,AmountCharging_1_0.chargeAmount,1,1272,1272,1272
18/06/2019,10:15,soaag,ReserveAmountCharging_1_0.chargeReservation,1,1445,1445,1445
18/06/2019,10:15,soaag,ReserveAmountCharging_1_0.releaseReservation,1,427,427,427
18/06/2019,10:15,soaag,ReserveAmountCharging_1_0.reserveAmount,4,1242,23102,6876
18/06/2019,10:30,soaag,ReserveAmountCharging_1_0.chargeReservation,1,594,594,594
18/06/2019,10:30,soaag,ReserveAmountCharging_1_0.releaseReservation,1,355,355,355
18/06/2019,10:30,soaag,ReserveAmountCharging_1_0.reserveAmount,2,405,670,538
18/06/2019,10:45,oxygen8,Charge_1_0.directDebit,2,761,17244,9002
18/06/2019,10:45,soaag,ReserveAmountCharging_1_0.chargeReservation,1,483,483,483
18/06/2019,10:45,soaag,ReserveAmountCharging_1_0.releaseReservation,1,363,363,363
18/06/2019,10:45,soaag,ReserveAmountCharging_1_0.reserveAmount,4,464,683,560
18/06/2019,11:00,SFDC,AccountManagement_V1_0.createAccount,6,10110,18322,14276
18/06/2019,11:00,THBS,CheckNumber_V1_0.checkNumber,15,858,61687,19530
18/06/2019,11:00,THBS,Communication_V1_0.notifyCustomer,13,1125,11233,4119
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,11,1165,2478,1432
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,15,826,5230,1345
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.depositToCard,11,941,5266,1562
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.merchantSale,11,855,3790,1419
18/06/2019,11:00,THBS,ManagePrepaidCard_V1_0.validateCard,15,1516,5868,2272
18/06/2019,11:00,THBS,WirelineManagement_V1_0.changeContract,10,4575,25818,15522
18/06/2019,11:00,THBS,WirelineManagement_V1_0.changeSubscriber,7,4556,29195,16773
18/06/2019,11:00,THBS,WirelineManagement_V1_0.lineCapabilities,10,1417,36302,15342
18/06/2019,11:00,THBS,WirelineManagement_V1_0.lineOrderStatus,10,1422,35707,12105
18/06/2019,11:00,THBS,WirelineManagement_V1_0.orderFulfillment,9,5258,25952,15975
18/06/2019,11:00,THBS,WirelineManagement_V1_0.updateSubscriberDetails,9,4513,21627,13968
18/06/2019,11:00,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,10,3294,24036,12512
18/06/2019,11:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,16,306,25468,4501
18/06/2019,11:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,8,1280,20380,7654
