Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,175376
Total,175376

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
26/06/2019,05:00,ABC,ManageOrderShipment_V1_0.createShipment,1,1095,1095,1095
26/06/2019,05:00,PARTY,PartyInteractionManagement_V1_0.getPartyInteraction,2,256,307,282
26/06/2019,05:00,Party,PartyInteractionManagement_V1_0.getPartyInteraction,1,224,224,224
26/06/2019,05:00,SFDC,AccountManagement_V1_0.createAccount,10,508,19996,5879
26/06/2019,05:00,THBS,AccountManagement_V1_0.getContacts,1,292,292,292
26/06/2019,05:00,THBS,BillingManagement_V1_0.billingAccount,1,143,143,143
26/06/2019,05:00,THBS,CheckNumber_V1_0.checkNumber,15,242,13035,1325
26/06/2019,05:00,THBS,CheckNumber_V2_0.checkNumber,1,199,199,199
26/06/2019,05:00,THBS,Communication_V1_0.notifyCustomer,15,1058,1454,1185
26/06/2019,05:00,THBS,ContactManagement_V1_0.createContact,1,207,207,207
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,7,1138,1388,1221
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,13,1086,1190,1142
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.depositToCard,9,919,1257,997
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.merchantSale,10,805,1166,876
26/06/2019,05:00,THBS,ManagePrepaidCard_V1_0.validateCard,13,1921,2720,2041
26/06/2019,05:00,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,12,240,18428,2093
26/06/2019,05:00,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,11,356,20496,3002
26/06/2019,05:00,THBS,SubscriptionManagement_V1_0.getContact,1,864,864,864
26/06/2019,05:00,THBS,WirelineManagement_V1_0.changeContract,14,196,17919,1780
26/06/2019,05:00,THBS,WirelineManagement_V1_0.changeSubscriber,8,270,1656,680
26/06/2019,05:00,THBS,WirelineManagement_V1_0.createMemo,12,154,10075,1558
26/06/2019,05:00,THBS,WirelineManagement_V1_0.lineCapabilities,10,1241,1766,1426
26/06/2019,05:00,THBS,WirelineManagement_V1_0.lineOrderStatus,12,1252,11588,2320
26/06/2019,05:00,THBS,WirelineManagement_V1_0.orderFulfillment,8,224,1976,541
26/06/2019,05:00,THBS,WirelineManagement_V1_0.updateSubscriberDetails,9,284,1897,648
26/06/2019,05:00,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,9,239,18171,2539
26/06/2019,05:00,UNKNOWN,CVFDocumentVerification_V1_0.uploadCVFDocument,1,360,360,360
26/06/2019,05:00,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,6,870,14094,3288
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.addAddOn_2,14,1246,21757,6200
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,12,1322,2759,2034
26/06/2019,05:00,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,12,590,1913,1046
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,11,281,417,353
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,7,267,360,311
26/06/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,14,91,1299,350
26/06/2019,05:00,abc,GeographicSiteManagement_V1_0.geographicSite,1,549,549,549
26/06/2019,05:00,crm,PaymentManagement_V1_0.getOrderKey,9,767,1288,869
26/06/2019,05:00,crm,PaymentManagement_V1_0.payment,9,1083,1132,1111
26/06/2019,05:00,crm,PaymentManagement_V1_0.refund,10,235,1164,1005
26/06/2019,05:00,fcgfh,WirelineManagement_V1_0.lineCapabilities,2,1225,1263,1244
26/06/2019,05:00,nokia,ManageHandsetDetails_1_0_Stubs.trigger,11,163,10612,1367
26/06/2019,05:00,soaag,ABOXManagement_V1_0.changeStatus,6,221,1556,758
26/06/2019,05:00,soaag,BalanceManagement_1_0.balanceTopUp,11,353,1843,563
26/06/2019,05:00,soaag,BillPaymentManagement_V1_0.billPayment,26,194,17704,1997
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,11,695,996,785
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,11,240,8250,1098
26/06/2019,05:00,soaag,CreditVettingFraud_V1_0.updateCreditDetails,8,90,761,209
26/06/2019,05:00,soaag,CustomerCreation_V1_0.createAccount,7,1045,1135,1092
26/06/2019,05:00,soaag,IDMManagement_V1_0.getContacts,16,2246,22549,7546
26/06/2019,05:00,soaag,IDMManagement_V1_0.login,9,241,12910,1706
26/06/2019,05:00,soaag,ManageTopUp_1_0.getCurrentBalance_1,12,126,258,204
26/06/2019,05:00,soaag,ManageTopUp_1_0.getTopUpHistory_1,10,368,461,424
26/06/2019,05:00,soaag,ManageTopUp_1_0.topUpBillContract_1,8,700,1019,786
26/06/2019,05:00,soaag,ManageTopUp_1_0.topUp_2,7,215,2295,718
26/06/2019,05:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,12,194,1649,515
26/06/2019,05:00,soaag,PaymentManagement_V1_0.getTokenizedCard,4,506,1845,1122
26/06/2019,05:00,soaag,PaymentManagement_V1_0.validateBankAccount,13,107,6148,723
26/06/2019,05:00,thbs,AccountManagement_V1_0.getAccount,13,670,21924,6611
26/06/2019,05:00,thbs,AccountManagement_V1_0.getContacts,8,378,19588,4526
26/06/2019,05:00,thbs,BillingManagement_V1_0.billingAccount,9,131,218,160
26/06/2019,05:00,thbs,ContactManagement_V1_0.createContact,6,284,13099,2501
26/06/2019,05:00,thbs,ContactManagement_V1_0.getContact,8,226,13615,2088
26/06/2019,05:00,thbs,ContactManagement_V1_0.updateContact,13,177,2414,544
26/06/2019,05:00,thbs,CustomerBillManagement_V1_0.customerBill,11,85,1266,445
26/06/2019,05:00,thbs,GeographicSiteManagement_V1_0.geographicSite,12,776,19681,5471
26/06/2019,05:00,thbs,ManageOrderShipment_V1_0.createShipment,13,1087,1158,1122
26/06/2019,05:00,thbs,ManagePrepaidCard_V1_0.cardEnquiryMobile,1,1166,1166,1166
26/06/2019,05:00,thbs,ManagePrepaidCard_V1_0.depositToCard,1,946,946,946
26/06/2019,05:00,thbs,ManagePrepaidCard_V1_0.merchantSale,1,837,837,837
26/06/2019,05:00,thbs,ManagePrepaidCard_V1_0.validateCard,1,1960,1960,1960
26/06/2019,05:00,thbs,NumberPortability_V1_0.portIn,15,156,708,250
26/06/2019,05:00,thbs,OrderManagement_V1_0.updateOrderDetails,13,95,5661,802
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,14,287,16409,1666
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,15,252,20863,3194
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,11,261,17989,2220
26/06/2019,05:00,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,13,324,18431,2076
26/06/2019,05:00,thbs,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,1,165,165,165
26/06/2019,05:00,thbs,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,3,162,1636,687
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.createOrder,9,87,156,126
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.getOrder,6,237,1606,531
26/06/2019,05:00,thbs,ProductOrderingManagement_V1_0.modifyOrder,52,168,19612,2419
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,6,1231,15000,4144
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,15,484,21318,4067
26/06/2019,05:00,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,9,1237,16940,5142
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.changeStatus,15,189,19497,1632
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.getAccount,8,877,21713,6010
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.getContact,10,863,20536,6322
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.getSubscription,6,433,1699,918
26/06/2019,05:00,thbs,SubscriptionManagement_V1_0.setContact,12,172,1343,346
26/06/2019,05:00,thbs,UsageConsumption_V1_0_Stubs.usageConsumptionReport,11,208,297,246
26/06/2019,05:00,three,ManagePrepaidBalance_1_0.lendMe,8,1295,20477,6252
26/06/2019,05:00,tybs,ManagePrepaidCard_V1_0.checkSaleStatus,1,1100,1100,1100
26/06/2019,05:15,SFDC,AccountManagement_V1_0.createAccount,4,397,610,466
26/06/2019,05:15,THBS,CheckNumber_V1_0.checkNumber,3,262,1307,615
26/06/2019,05:15,THBS,Communication_V1_0.notifyCustomer,5,1096,2453,1445
26/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,6,1145,1770,1281
26/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,1,1095,1095,1095
26/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.depositToCard,7,931,1015,968
26/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.merchantSale,5,843,922,870
26/06/2019,05:15,THBS,ManagePrepaidCard_V1_0.validateCard,5,1927,2456,2198
26/06/2019,05:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,5,253,2540,970
26/06/2019,05:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,3,388,1940,1148
26/06/2019,05:15,THBS,WirelineManagement_V1_0.changeContract,8,280,1588,737
26/06/2019,05:15,THBS,WirelineManagement_V1_0.changeSubscriber,5,244,1818,711
26/06/2019,05:15,THBS,WirelineManagement_V1_0.createMemo,6,154,533,248
26/06/2019,05:15,THBS,WirelineManagement_V1_0.lineCapabilities,6,1216,1394,1293
26/06/2019,05:15,THBS,WirelineManagement_V1_0.lineOrderStatus,5,1367,2681,1905
26/06/2019,05:15,THBS,WirelineManagement_V1_0.orderFulfillment,5,275,1283,506
26/06/2019,05:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,4,331,1604,670
26/06/2019,05:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,7,304,720,538
26/06/2019,05:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,4,720,947,833
26/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,7,1312,3156,2419
26/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,6,1351,3488,2345
26/06/2019,05:15,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,4,704,1181,916
26/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,6,255,1301,522
26/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,5,267,1579,589
26/06/2019,05:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,3,106,1502,574
26/06/2019,05:15,crm,PaymentManagement_V1_0.getOrderKey,5,800,879,830
26/06/2019,05:15,crm,PaymentManagement_V1_0.payment,5,1069,1148,1106
26/06/2019,05:15,crm,PaymentManagement_V1_0.refund,6,215,1121,710
26/06/2019,05:15,nokia,ManageHandsetDetails_1_0_Stubs.trigger,5,147,378,222
26/06/2019,05:15,soaag,ABOXManagement_V1_0.changeStatus,7,232,1198,512
26/06/2019,05:15,soaag,BalanceManagement_1_0.balanceTopUp,5,307,727,462
26/06/2019,05:15,soaag,BillPaymentManagement_V1_0.billPayment,9,243,1545,725
26/06/2019,05:15,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,5,718,779,745
26/06/2019,05:15,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,3,238,301,267
26/06/2019,05:15,soaag,CreditVettingFraud_V1_0.updateCreditDetails,4,93,340,182
26/06/2019,05:15,soaag,CustomerCreation_V1_0.createAccount,4,1065,2392,1407
26/06/2019,05:15,soaag,IDMManagement_V1_0.getContacts,4,3139,4284,3644
26/06/2019,05:15,soaag,IDMManagement_V1_0.login,6,251,1008,400
26/06/2019,05:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,7,163,230,196
26/06/2019,05:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,4,377,409,400
26/06/2019,05:15,soaag,ManageTopUp_1_0.topUpBillContract_1,7,654,797,707
26/06/2019,05:15,soaag,ManageTopUp_1_0.topUp_2,5,293,1145,558
26/06/2019,05:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,6,164,335,258
26/06/2019,05:15,soaag,PaymentManagement_V1_0.getTokenizedCard,6,489,1271,742
26/06/2019,05:15,soaag,PaymentManagement_V1_0.validateBankAccount,2,166,185,176
26/06/2019,05:15,thbs,AccountManagement_V1_0.getAccount,4,454,1991,927
26/06/2019,05:15,thbs,AccountManagement_V1_0.getContacts,6,351,752,486
26/06/2019,05:15,thbs,BillingManagement_V1_0.billingAccount,4,125,152,136
26/06/2019,05:15,thbs,ContactManagement_V1_0.createContact,6,228,1424,475
26/06/2019,05:15,thbs,ContactManagement_V1_0.getContact,6,203,786,421
26/06/2019,05:15,thbs,ContactManagement_V1_0.updateContact,4,213,1024,625
26/06/2019,05:15,thbs,CustomerBillManagement_V1_0.customerBill,5,109,184,141
26/06/2019,05:15,thbs,GeographicSiteManagement_V1_0.geographicSite,8,620,3058,1511
26/06/2019,05:15,thbs,ManageOrderShipment_V1_0.createShipment,4,1103,1310,1168
26/06/2019,05:15,thbs,NumberPortability_V1_0.portIn,2,275,315,295
26/06/2019,05:15,thbs,OrderManagement_V1_0.updateOrderDetails,6,111,218,163
26/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,5,277,1431,670
26/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,10,325,1079,681
26/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,7,270,1833,736
26/06/2019,05:15,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,6,229,1615,689
26/06/2019,05:15,thbs,ProductOrderingManagement_V1_0.createOrder,5,105,233,159
26/06/2019,05:15,thbs,ProductOrderingManagement_V1_0.getOrder,2,250,255,252
