Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,121510
Total,121510

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
28/06/2019,05:15,thbs,SubscriptionManagement_V1_0.getContact,1,1151,1151,1151
28/06/2019,06:00,thbs,SubscriptionManagement_V1_0.getContact,1,823,823,823
28/06/2019,06:30,thbs,SubscriptionManagement_V1_0.getContact,1,1091,1091,1091
28/06/2019,07:00,WorldPay,WorldPayNotification_V1_0.notify,4,511,416760,303698
28/06/2019,07:15,WorldPay,WorldPayNotification_V1_0.notify,2,618,729,674
28/06/2019,07:30,OMS,WirelineManagement_V1_0.changeSubscriber,1,226,226,226
28/06/2019,07:30,dfgh,CheckNumber_V1_0.checkNumber,1,1332,1332,1332
28/06/2019,07:30,soaag,ManagePrepaidBalance_1_0.lendMe,1,7698,7698,7698
28/06/2019,07:30,test111,SubscriptionManagement_V1_0.getSubscription,1,408,408,408
28/06/2019,07:30,thbs,CheckNumber_V2_0.checkNumber,1,434,434,434
28/06/2019,08:00,test111,SubscriptionManagement_V1_0.getSubscription,2,367,390,378
28/06/2019,08:00,thbs,ContactManagement_V1_0.createContact,2,184,221,202
28/06/2019,08:00,thbs,ContactManagement_V1_0.getContact,2,172,786,479
28/06/2019,08:00,thbs,ContactManagement_V1_0.updateContact,1,186,186,186
28/06/2019,08:00,thbs,ManageOrderShipment_V1_0.createShipment,1,1257,1257,1257
28/06/2019,08:00,thbs,OrderManagement_V1_0.updateOrderDetails,2,266,1258,762
28/06/2019,08:00,thbs,SubscriptionManagement_V1_0.getContact,1,907,907,907
28/06/2019,08:00,thbs,SubscriptionManagement_V1_0.getSubscription,2,317,368,342
28/06/2019,08:15,DOL,ContactManagement_V1_0.getContact,1,151,151,151
28/06/2019,08:15,test111,ContactManagement_V1_0.getContact,1,234,234,234
28/06/2019,08:15,thbs,ContactManagement_V1_0.getContact,1,171,171,171
28/06/2019,08:30,THBS,SubscriptionManagement_V1_0.getContact,1,836,836,836
28/06/2019,08:30,soaag,BillPaymentManagement_V1_0.billPayment,1,4352,4352,4352
28/06/2019,08:30,soaag,CustomerCreation_V1_0.createAccount,1,977,977,977
28/06/2019,08:45,thbs,SubscriptionManagement_V1_0.getSubscription,1,420,420,420
28/06/2019,09:15,soaag,ReserveAmountCharging_1_0.reserveAmount,2,1535,3333,2434
28/06/2019,10:00,THBS,Communication_V1_0.notifyCustomer,1,1100,1100,1100
28/06/2019,10:00,test111,BalanceManagement_1_0.balance,32,39,801,82
28/06/2019,10:00,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,1,3321,3321,3321
28/06/2019,10:00,thbs,ProductOrderingManagement_V1_0.getOrder,2,265,732,498
28/06/2019,10:30,THBS,Communication_V1_0.notifyCustomer,41,1079,3839,1173
28/06/2019,10:30,test111,BalanceManagement_1_0.balance,733,38,108,44
28/06/2019,10:30,test111,CreditVettingFraud_V1_0.cvfEligibityStatus,10,3255,4088,3440
28/06/2019,10:30,thbs,ProductOrderingManagement_V1_0.getOrder,10,246,278,266
28/06/2019,10:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,27,1025,4233,1311
28/06/2019,10:30,thbs,SubscriptionManagement_V1_0.getSubscription,32,352,3319,472
