Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,118644
Total,118644

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
11/06/2019,07:30,SFDC,AccountManagement_V1_0.createAccount,3,6289,6952,6691
11/06/2019,07:30,THBS,CheckNumber_V1_0.checkNumber,3,7721,14446,10481
11/06/2019,07:30,THBS,Communication_V1_0.notifyCustomer,3,232,402,301
11/06/2019,07:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,3,1208,6809,3180
11/06/2019,07:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,2,832,936,884
11/06/2019,07:30,THBS,ManagePrepaidCard_V1_0.depositToCard,1,6840,6840,6840
11/06/2019,07:30,THBS,ManagePrepaidCard_V1_0.merchantSale,5,816,1460,1003
11/06/2019,07:30,THBS,ManagePrepaidCard_V1_0.validateCard,2,1711,1752,1732
11/06/2019,07:30,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,1,3201,3201,3201
11/06/2019,07:30,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,2,3736,4462,4099
11/06/2019,07:30,THBS,WirelineManagement_V1_0.lineCapabilities,1,1280,1280,1280
11/06/2019,07:30,THBS,WirelineManagement_V1_0.lineOrderStatus,1,7313,7313,7313
11/06/2019,07:30,THBS,WirelineManagement_V1_0.orderFulfillment,3,5239,8869,7042
11/06/2019,07:30,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,4,3298,7416,5235
11/06/2019,07:30,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,2,11611,14927,13269
11/06/2019,07:30,UNKNOWN,ManageAddOn_1_0.addAddOn_2,3,16818,16877,16839
11/06/2019,07:30,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,3,3516,7771,4958
11/06/2019,07:30,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,3,9330,9336,9333
11/06/2019,07:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,2,439,10414,5426
11/06/2019,07:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,3,1296,5468,2687
11/06/2019,07:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,2,597,3393,1995
11/06/2019,07:30,WorldPay,WorldPayNotification_V1_0.notify,2,1217,1654,1436
11/06/2019,07:30,crm,PaymentManagement_V1_0.getOrderKey,5,1080,7006,2851
11/06/2019,07:30,crm,PaymentManagement_V1_0.payment,1,1163,1163,1163
11/06/2019,07:30,crm,PaymentManagement_V1_0.refund,4,1307,6990,3216
11/06/2019,07:30,nokia,ManageHandsetDetails_1_0_Stubs.trigger,1,1417,1417,1417
11/06/2019,07:30,soaag,ABOXManagement_V1_0.changeStatus,3,1427,7305,5036
11/06/2019,07:30,soaag,BalanceManagement_1_0.balanceTopUp,3,1125,7208,3469
11/06/2019,07:30,soaag,BillPaymentManagement_V1_0.billPayment,5,1917,8321,5161
11/06/2019,07:30,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,1,655,655,655
11/06/2019,07:30,soaag,CreditVettingFraud_V1_0.updateCreditDetails,2,1072,1166,1119
11/06/2019,07:30,soaag,CustomerCreation_V1_0.createAccount,3,1319,7171,3278
11/06/2019,07:30,soaag,IDMManagement_V1_0.getContacts,4,9213,12221,11288
11/06/2019,07:30,soaag,IDMManagement_V1_0.login,4,376,1063,629
11/06/2019,07:30,soaag,ManageTopUp_1_0.getCurrentBalance_1,3,701,3890,1895
11/06/2019,07:30,soaag,ManageTopUp_1_0.getTopUpHistory_1,3,893,940,920
11/06/2019,07:30,soaag,ManageTopUp_1_0.topUpBillContract_1,3,5729,9387,8157
11/06/2019,07:30,soaag,ManageTopUp_1_0.topUp_2,3,1088,3943,2122
11/06/2019,07:30,soaag,ManageUpgrade_1_0.getUpgradeEligibility,3,5261,8464,6395
11/06/2019,07:30,soaag,PaymentManagement_V1_0.getTokenizedCard,2,10941,11210,11076
11/06/2019,07:30,soaag,PaymentManagement_V1_0.validateBankAccount,2,631,1191,911
11/06/2019,07:30,thbs,AccountManagement_V1_0.getContacts,2,955,6537,3746
11/06/2019,07:30,thbs,BillingManagement_V1_0.billingAccount,4,608,677,651
11/06/2019,07:30,thbs,ContactManagement_V1_0.createContact,2,1178,3649,2414
11/06/2019,07:30,thbs,ContactManagement_V1_0.getContact,3,3213,7341,4759
11/06/2019,07:30,thbs,ContactManagement_V1_0.updateContact,1,7287,7287,7287
11/06/2019,07:30,thbs,CustomerBillManagement_V1_0.customerBill,1,6748,6748,6748
11/06/2019,07:30,thbs,ManageOrderShipment_V1_0.createShipment,4,1184,7144,2880
11/06/2019,07:30,thbs,NumberPortability_V1_0.portIn,1,669,669,669
11/06/2019,07:30,thbs,OrderManagement_V1_0.updateOrderDetails,1,8166,8166,8166
11/06/2019,07:30,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,3,3422,8677,6214
11/06/2019,07:30,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,5,1549,7078,3782
11/06/2019,07:30,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,3,3425,6841,5513
11/06/2019,07:30,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,3,846,6774,4766
11/06/2019,07:30,thbs,ProductOrderingManagement_V1_0.createOrder,3,146,186,162
11/06/2019,07:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,17,4488,9745,6280
11/06/2019,07:30,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,4,4116,9161,6586
11/06/2019,07:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,2,13985,14217,14101
11/06/2019,07:30,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,3,5110,8217,7158
11/06/2019,07:30,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,1,4172,4172,4172
11/06/2019,07:30,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,1,6638,6638,6638
11/06/2019,07:30,thbs,SubscriptionManagement_V1_0.changeStatus,4,1185,6814,3982
11/06/2019,07:30,thbs,SubscriptionManagement_V1_0.getAccount,2,5260,7298,6279
11/06/2019,07:30,thbs,SubscriptionManagement_V1_0.getContact,3,1756,7283,3727
11/06/2019,07:30,thbs,SubscriptionManagement_V1_0.getSubscription,2,6761,7376,7068
11/06/2019,07:30,thbs,SubscriptionManagement_V1_0.setContact,1,501,501,501
11/06/2019,07:30,thbs,UsageConsumption_V1_0_Stubs.usageConsumptionReport,2,443,453,448
11/06/2019,07:30,three,ManagePrepaidBalance_1_0.lendMe,4,8840,8985,8894
11/06/2019,07:45,thbs,WirelineManagement_V1_0.lineOrderStatus,1,1809,1809,1809
11/06/2019,08:00,thbs,WirelineManagement_V1_0.lineOrderStatus,2,1255,1287,1271
11/06/2019,12:30,WorldPay,WorldPayNotification_V1_0.notify,4,707,4041,2561
11/06/2019,12:45,THBS,AccountManagement_V1_0.getContacts,1,2908,2908,2908
11/06/2019,12:45,WorldPay,WorldPayNotification_V1_0.notify,2,1558,4077,2818
11/06/2019,12:45,thbs,AccountManagement_V1_0.getAccount,1,8040,8040,8040
11/06/2019,13:15,soaag,ManagePrepaidBalance_1_0.lendMe,1,46161,46161,46161
11/06/2019,13:30,soaag,ManagePrepaidBalance_1_0.lendMe,1,12462,12462,12462
11/06/2019,13:45,SFDC,AccountManagement_V1_0.createAccount,4,6221,15433,10308
11/06/2019,13:45,THBS,CheckNumber_V1_0.checkNumber,3,6912,11812,9072
11/06/2019,13:45,THBS,Communication_V1_0.notifyCustomer,3,959,3827,2848
11/06/2019,13:45,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,2,1238,11502,6370
11/06/2019,13:45,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,2,1462,11161,6312
11/06/2019,13:45,THBS,ManagePrepaidCard_V1_0.depositToCard,1,1854,1854,1854
11/06/2019,13:45,THBS,ManagePrepaidCard_V1_0.merchantSale,3,1349,10246,4419
11/06/2019,13:45,THBS,ManagePrepaidCard_V1_0.validateCard,3,2075,12460,5691
11/06/2019,13:45,THBS,WirelineManagement_V1_0.lineCapabilities,2,2845,3429,3137
11/06/2019,13:45,THBS,WirelineManagement_V1_0.lineOrderStatus,2,3627,4848,4238
11/06/2019,13:45,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,2,6514,7579,7046
11/06/2019,13:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,3,853,4034,2296
11/06/2019,13:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,4,350,1739,960
11/06/2019,13:45,WorldPay,WorldPayNotification_V1_0.notify,3,4209,8016,5765
11/06/2019,13:45,crm,PaymentManagement_V1_0.getOrderKey,1,1979,1979,1979
11/06/2019,13:45,crm,PaymentManagement_V1_0.payment,4,1125,1866,1376
11/06/2019,13:45,crm,PaymentManagement_V1_0.refund,2,1370,1859,1614
11/06/2019,13:45,nokia,ManageHandsetDetails_1_0.trigger,2,1027,2612,1820
11/06/2019,13:45,soaag,BalanceManagement_1_0.balanceTopUp,2,622,20006,10314
11/06/2019,13:45,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,2,811,1659,1235
11/06/2019,13:45,soaag,CreditVettingFraud_V1_0.updateCreditDetails,2,725,1798,1262
11/06/2019,13:45,soaag,CustomerCreation_V1_0.createAccount,3,1449,8986,4014
11/06/2019,13:45,soaag,ManageTopUp_1_0.getCurrentBalance_1,2,206,3586,1896
11/06/2019,13:45,soaag,ManageTopUp_1_0.getTopUpHistory_1,3,13333,15483,14176
11/06/2019,13:45,soaag,ManageTopUp_1_0.topUpBillContract_1,3,2355,5903,3674
11/06/2019,13:45,soaag,ManageTopUp_1_0.topUp_2,4,791,3634,2100
11/06/2019,13:45,soaag,ManageUpgrade_1_0.getUpgradeEligibility,1,3139,3139,3139
11/06/2019,13:45,soaag,PaymentManagement_V1_0.validateBankAccount,2,1365,5101,3233
11/06/2019,13:45,thbs,AccountManagement_V1_0.getContacts,2,2853,6503,4678
11/06/2019,13:45,thbs,BillingManagement_V1_0.billingAccount,3,2502,2516,2511
11/06/2019,13:45,thbs,ContactManagement_V1_0.createContact,1,2336,2336,2336
11/06/2019,13:45,thbs,ContactManagement_V1_0.getContact,3,3463,5055,4499
11/06/2019,13:45,thbs,ContactManagement_V1_0.updateContact,1,2037,2037,2037
11/06/2019,13:45,thbs,CustomerBillManagement_V1_0.customerBill,3,1232,2622,1840
11/06/2019,13:45,thbs,ManageOrderShipment_V1_0.createShipment,5,1187,12345,6084
