Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,3254
Total,3254

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
11/07/2019,00:15,SFDC,AccountManagement_V1_0.createAccount,1,6733,6733,6733
11/07/2019,00:15,THBS,CheckNumber_V1_0.checkNumber,12,913,3714,1879
11/07/2019,00:15,THBS,Communication_V1_0.notifyCustomer,109,1036,2270,1081
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,9,1095,1250,1139
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,5,1066,1233,1134
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.depositToCard,4,926,1021,975
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.merchantSale,4,776,796,782
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.validateCard,3,1881,2035,1933
11/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,2,3136,5947,4542
11/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,9,3640,7813,5409
11/07/2019,00:15,THBS,WirelineManagement_V1_0.changeContract,3,4152,6031,4781
11/07/2019,00:15,THBS,WirelineManagement_V1_0.changeSubscriber,3,4145,6024,4784
11/07/2019,00:15,THBS,WirelineManagement_V1_0.lineCapabilities,2,1212,1329,1270
11/07/2019,00:15,THBS,WirelineManagement_V1_0.lineOrderStatus,1,1426,1426,1426
11/07/2019,00:15,THBS,WirelineManagement_V1_0.orderFulfillment,6,5181,7712,5951
11/07/2019,00:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,4,4163,5009,4378
11/07/2019,00:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,26,3157,5693,3435
11/07/2019,00:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,18,2786,5856,3210
11/07/2019,00:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,3,9144,11925,10198
11/07/2019,00:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,6,3362,7162,4714
