Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,84029
Total,84029

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
04/07/2019,00:15,SFDC,AccountManagement_V1_0.createAccount,20,6268,8035,6613
04/07/2019,00:15,THBS,CheckNumber_V1_0.checkNumber,42,626,2463,714
04/07/2019,00:15,THBS,Communication_V1_0.notifyCustomer,965,1033,4228,1065
04/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,56,1094,4027,1155
04/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,23,1063,1102,1072
04/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.depositToCard,16,912,937,920
04/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.merchantSale,15,777,1198,813
04/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.validateCard,23,1880,1918,1890
04/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,14,3142,3641,3234
04/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,66,3624,5472,4383
04/07/2019,00:15,THBS,WirelineManagement_V1_0.changeContract,7,4157,14181,5603
04/07/2019,00:15,THBS,WirelineManagement_V1_0.changeSubscriber,6,4153,11604,5440
04/07/2019,00:15,THBS,WirelineManagement_V1_0.createMemo,5,1103,2187,1378
04/07/2019,00:15,THBS,WirelineManagement_V1_0.lineCapabilities,2,1197,1208,1202
04/07/2019,00:15,THBS,WirelineManagement_V1_0.lineOrderStatus,3,1244,3371,2125
04/07/2019,00:15,THBS,WirelineManagement_V1_0.orderFulfillment,23,5137,5533,5222
04/07/2019,00:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,8,4160,4558,4237
04/07/2019,00:15,UNKNOWN,CVFDocumentVerification_V1_0.cvfDocumentStatus,172,3150,11343,3287
04/07/2019,00:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,152,2759,5619,2957
04/07/2019,00:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,6,8915,9530,9189
