Server,Transactions
ieo2wlzsoax01/10.142.4.18/soa_server1,97496
Total,97496

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
03/10/2019,05:30,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,2,868,959,914
03/10/2019,05:45,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,17,368,817,548
03/10/2019,05:45,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,2,274,724,499
03/10/2019,07:45,DUAL_ANM,Communication_V1_0.notifyCustomer,8,1183,1343,1267
03/10/2019,07:45,Digital_Hub,ProfileAndPermissionsMgmt_V1_0.getProfile,1,924,924,924
03/10/2019,07:45,FUSION,PartyInteractionManagement_V1_0.createPartyInteraction,5,527,1009,827
03/10/2019,07:45,FUSION,PartyInteractionManagement_V1_0.getPartyInteraction,33,335,3273,770
03/10/2019,07:45,NET_MOBILE,ProfileAndPermissionsMgmt_V1_0.getProfile,2,1781,2634,2208
03/10/2019,07:45,SMS_ANM,Communication_V1_0.notifyCustomer,21,1096,3729,1925
03/10/2019,07:45,WorldPay,WorldPayNotification_V1_0.notify,3,1265,1535,1379
03/10/2019,07:45,crm,PaymentManagement_V1_0.getOrderKey,1,1175,1175,1175
03/10/2019,07:45,crm,PaymentManagement_V1_0.payment,7,1123,1190,1152
03/10/2019,07:45,nokia,ManageHandsetDetails_1_0.trigger,3,848,1679,1137
03/10/2019,07:45,salesforce,PaymentManagement_V1_0.refund,124,102,5307,252
03/10/2019,07:45,soaag,BalanceManagement_1_0.balanceTopUp,12,945,1354,1131
03/10/2019,07:45,soaag,IDMManagement_V1_0.getContacts,5,1412,7177,5096
03/10/2019,07:45,soaag,IDMManagement_V1_0.login,32,194,3076,685
03/10/2019,07:45,soaag,ManageTopUp_1_0.getCurrentBalance_1,4,272,2251,834
03/10/2019,07:45,soaag,ManageTopUp_1_0.getTopUpHistory_1,4,414,2845,1512
03/10/2019,07:45,soaag,ManageTopUp_1_0.topUp_2,8,1190,2554,1964
03/10/2019,07:45,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,6,470,4525,3207
03/10/2019,07:45,test11,ProductOrderingManagement_V1_0.getOrder,51,705,8697,1347
03/10/2019,07:45,test11,SubscriptionManagement_V1_0.getSubscription,4,1811,2761,2331
03/10/2019,07:45,thbs,AccountManagement_V1_0.getAccount,3,2401,6781,5117
03/10/2019,07:45,thbs,AccountManagement_V1_0.getContacts,7,529,2714,1163
03/10/2019,07:45,thbs,ContactManagement_V1_0.createContact,1,1437,1437,1437
