Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SubscriptionManagement_V1_0_changeStatus,213,2920,1212,4395,9510,36978,1170,45026,1.878%,.02967,0.02,0.02
AccountManagement_V1_0_createAccount,338,4142,1540,7754,18069,44455,554,50353,3.550%,.04729,0.06,0.13
ReserveAmountCharging_1_0_releaseReservation,299,1479,347,1362,6368,24020,313,50896,0.000%,.04190,0.04,0.07
ReserveAmountCharging_1_0_reserveAmount,298,2043,726,2273,5204,39224,688,56325,0.671%,.04176,0.04,0.06
ReserveAmountCharging_1_0_chargeReservation,299,1730,442,2135,8890,23653,399,47417,0.000%,.04190,0.04,0.07
O2IE_ManageBillDetails_1_0_getAllowanceUsageInfo_1,196,1618,781,1827,5030,21443,711,31125,0.510%,.02749,0.07,0.02
CustomerBillManagement_V1_0.customerBill,192,2569,1161,2758,10687,29406,1126,32695,0.000%,.02691,0.02,0.01
SMSPermissionsMgmt_V1_0_upateKeywordPermissions,301,11355,7644,17506,34323,53950,1502,85566,7.973%,.04209,0.03,0.03
PaymentManagement_V1_0_getTokenizedCard,187,5175,2507,9189,24472,37599,463,57233,5.882%,.02621,0.03,0.03
CreditVettingFraud_V1_0_updateCreditDetails,322,2416,1102,2193,6296,36185,1073,42786,1.242%,.04509,0.03,0.06
MangeAddOn_1_0_checkAddOn_1,187,5556,3490,7154,13968,40082,3317,55064,2.674%,.02622,0.03,0.02
CustomerCreation_V1_0_createAccount,94,2218,1102,2068,3302,24134,1043,54590,0.000%,.01319,0.01,0.05
PartyInteractionManagement_V1_0_reOpenCustomerProblem,304,3740,1504,6116,19486,33705,404,54266,5.263%,.04258,0.07,0.02
WirelineManagement_V1_0_orderFulfillment,302,6993,5251,6633,15046,42930,5200,62160,1.325%,.04226,0.01,0.06
SMSPermissionsMgmt_V1_0_getKeywordPermissions,305,10332,7306,18475,34469,46151,1273,66176,8.525%,.04265,0.04,0.01
AmountCharging_1_0_refundAmount,300,1456,454,1209,2996,17509,400,58601,0.333%,.04207,0.04,0.07
BillingManagement_V1_0_billingAccount,197,1522,681,1130,5387,19651,659,23157,0.508%,.02761,0.01,0.06
O2IE_ManageBillDetails_1_0_getBillDetails_1,194,2457,1212,2197,4257,37539,1153,56475,0.515%,.02721,0.05,0.02
ProductOfferingQualification_V1_0_checkProductOfferingQualification,189,4717,3228,4737,10462,32172,3187,52306,1.587%,.02648,0.01,0.02
ContactManagement_V1_0_updateContact,364,4613,1747,6687,32191,46284,305,53875,6.319%,.05093,0.03,0.03
ProductOrderingManagement_V1_0_modifyOrder_CHANGE,200,7685,5250,10785,16664,57984,5205,64682,0.500%,.02784,0.01,0.01
MangeAddOn_1_0_removeAddOn_2,155,8460,5708,8209,22305,61444,5596,62739,1.935%,.02177,0.02,0.02
BillPaymentManagement_V1_0_billPayment_CRM,75,6315,4203,8736,24431,32299,486,38030,5.333%,.01054,0.01,0.02
MangeAddOn_1_0_addAddOn_2,149,12255,9166,16831,34697,70483,8767,81189,3.356%,.02091,0.02,0.02
ProductOrderingManagement_V1_0_modifyOrder_REMOVE,177,6980,4599,8227,13534,62539,4531,74947,1.695%,.02480,0.01,0.01
O2IE_ManageBillDetails_1_0_getUnbilledAmount_1,196,1947,107,1588,12423,43166,65,52335,1.020%,.02749,0.03,0.03
WirelineManagement_V1_0_createMemo,95,1220,200,429,1900,27103,172,33011,1.053%,.01333,0.00,0.01
WirelineManagement_V1_0_changeSubscriber,90,5455,4245,5447,13179,24763,4202,32945,1.111%,.01262,0.00,0.01
WirelineManagement_V1_0_changeContract,89,6615,4276,7676,25458,49234,4203,49293,2.247%,.01247,0.00,0.01
BillPaymentManagement_V1_0_billPayment_ENS,78,3174,1815,3473,8111,21278,1758,38905,0.000%,.01096,0.01,0.03
GeographicSiteManagement_V1_0_geographicSite ,85,11820,9384,16561,32422,39556,2047,51507,9.412%,.01206,0.01,0.01
WirelineManagement_V1_0_lineOrderStatus,32,1797,1331,2344,2744,7654,1271,7654,0.000%,.00459,0.01,0.00
ManageTopup_1_0_topUpBillContract_1,31,1973,1823,2661,2726,3878,1735,3878,0.000%,.00445,0.00,0.01
WirelineManagement_V1_0_lineCapabilities,31,4751,1281,7682,17132,53907,1228,53907,0.000%,.00444,0.00,0.00
ProductOrderingManagement_V1_0_modifyOrder_ROAMING_ADD,29,8925,5563,7639,38074,62948,5507,62948,3.448%,.00416,0.00,0.00
ProductOrderingManagement_V1_0_modifyOrder_ROAMING_REMOVE,29,9761,5560,11078,50334,66370,5514,66370,3.448%,.00416,0.00,0.00
TOTAL,234430,3580,2204,7231,10283,33667,42,225846,3.532%,32.49202,45.06,28.57
