Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,86093
Total,86093

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
29/07/2019,05:15,soaag,ReserveAmountCharging_1_0.reserveAmount,206,337,791,391
29/07/2019,05:30,SFDC,AccountManagement_V1_0.createAccount,4,1354,6139,3342
29/07/2019,05:30,THBS,Communication_V1_0.notifyCustomer,112,1041,1166,1096
29/07/2019,05:30,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,11,1126,1304,1186
29/07/2019,05:30,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,6,1108,1274,1147
29/07/2019,05:30,THBS,ManagePrepaidCard_V1_0.depositToCard,4,954,1044,979
29/07/2019,05:30,THBS,ManagePrepaidCard_V1_0.merchantSale,5,819,882,833
29/07/2019,05:30,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,8,1862,6749,3332
29/07/2019,05:30,THBS,WirelineManagement_V1_0.changeContract,2,3659,4342,4000
29/07/2019,05:30,THBS,WirelineManagement_V1_0.createMemo,2,351,899,625
29/07/2019,05:30,THBS,WirelineManagement_V1_0.updateSubscriberDetails,2,2411,4000,3206
29/07/2019,05:30,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,23,593,4324,1331
29/07/2019,05:30,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,1,1089,1089,1089
29/07/2019,05:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,4,242,716,499
29/07/2019,05:30,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,2,161,193,177
29/07/2019,05:30,WorldPay,WorldPayNotification_V1_0.notify,5,120531,120579,120559
29/07/2019,05:30,crm,PaymentManagement_V1_0.getOrderKey,17,756,846,777
29/07/2019,05:30,crm,PaymentManagement_V1_0.payment,37,1057,1186,1092
29/07/2019,05:30,nokia,ManageHandsetDetails_1_0.trigger,32,86,2113,510
29/07/2019,05:30,soaag,BalanceManagement_1_0.balanceTopUp,143,690,3763,843
29/07/2019,05:30,soaag,BillPaymentManagement_V1_0.billPayment,1,1152,1152,1152
29/07/2019,05:30,soaag,CustomerCreation_V1_0.createAccount,3,1012,1058,1031
29/07/2019,05:30,soaag,IDMManagement_V1_0.getContacts,43,1401,8763,4152
29/07/2019,05:30,soaag,IDMManagement_V1_0.login,398,116,4238,607
29/07/2019,05:30,soaag,ManageTopUp_1_0.getCurrentBalance_1,86,111,429,178
29/07/2019,05:30,soaag,ManageTopUp_1_0.getTopUpHistory_1,93,197,856,338
29/07/2019,05:30,soaag,ManageTopUp_1_0.topUpBillContract_1,1,1995,1995,1995
29/07/2019,05:30,soaag,ManageTopUp_1_0.topUp_2,75,810,1238,935
29/07/2019,05:30,soaag,ManageUpgrade_1_0.getUpgradeEligibility,7,794,3473,1738
29/07/2019,05:30,test11,AmountCharging_1_0.chargeAmount,47,464,961,626
29/07/2019,05:30,test11,CVFDocumentVerification_V1_0.cvfDocumentStatus,28,131,1994,306
29/07/2019,05:30,test11,CheckNumber_V1_0.checkNumber,8,343,979,699
29/07/2019,05:30,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,24,877,998,914
29/07/2019,05:30,test11,CreditVettingFraud_V1_0.cvfEligibityStatus,3,201,611,340
29/07/2019,05:30,test11,CreditVettingFraud_V1_0.updateCreditDetails,3,267,516,387
29/07/2019,05:30,test11,PartyInteractionManagement_V1_0.closeCustomerProblem,13,404,1299,743
29/07/2019,05:30,test11,PartyInteractionManagement_V1_0.reOpenCustomerProblem,5,391,415,401
29/07/2019,05:30,test11,PaymentManagement_V1_0.refund,3,292,982,696
29/07/2019,05:30,thbs,AccountManagement_V1_0.getAccount,35,904,8500,2732
29/07/2019,05:30,thbs,AccountManagement_V1_0.getContacts,22,349,3770,1280
29/07/2019,05:30,thbs,BillingManagement_V1_0.billingAccount,3,252,5977,2165
29/07/2019,05:30,thbs,ContactManagement_V1_0.createContact,27,431,2947,1244
29/07/2019,05:30,thbs,ContactManagement_V1_0.getContact,187,280,4574,907
29/07/2019,05:30,thbs,ContactManagement_V1_0.updateContact,5,467,4680,2018
29/07/2019,05:30,thbs,CustomerBillManagement_V1_0.customerBill,3,112,454,304
29/07/2019,05:30,thbs,ManageOrderShipment_V1_0.createShipment,5,1081,1111,1100
29/07/2019,05:30,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,36,2042,10320,5932
29/07/2019,05:30,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,4,1394,4259,2302
29/07/2019,05:30,thbs,ProductOrderingManagement_V1_0.createOrder,4,181,6181,2324
29/07/2019,05:30,thbs,ProductOrderingManagement_V1_0.getOrder,168,911,12705,1903
29/07/2019,05:30,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,361,663,8682,2026
29/07/2019,05:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,39,979,5248,1807
29/07/2019,05:30,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,12,921,8181,2436
29/07/2019,05:30,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,4,1783,10565,5088
29/07/2019,05:30,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,9,2293,5646,3932
29/07/2019,05:30,thbs,SubscriptionManagement_V1_0.getContact,413,329,5111,964
29/07/2019,05:30,thbs,SubscriptionManagement_V1_0.getSubscription,38,407,4406,1219
29/07/2019,05:30,thbs,SubscriptionManagement_V1_0.setContact,26,265,3754,1101
29/07/2019,05:30,thbs,UsageConsumption_V1_0.usageConsumptionReport,12,198,897,384
29/07/2019,05:30,thbs,WirelineManagement_V1_0.lineOrderStatus,1,1349,1349,1349
29/07/2019,05:45,FMB,WirelineManagement_V1_0.createMemo,1,270,270,270
29/07/2019,05:45,THBS,WirelineManagement_V1_0.createMemo,23,127,227,156
29/07/2019,06:15,SFDC,AccountManagement_V1_0.createAccount,6,1505,7849,3828
29/07/2019,06:15,THBS,Communication_V1_0.notifyCustomer,184,999,2994,1065
29/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,17,1101,1184,1151
29/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,8,1073,1162,1118
29/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.depositToCard,7,957,1006,975
29/07/2019,06:15,THBS,ManagePrepaidCard_V1_0.merchantSale,9,809,847,826
29/07/2019,06:15,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,11,496,10686,3148
29/07/2019,06:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,40,591,3572,1235
29/07/2019,06:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,4,994,2466,1386
29/07/2019,06:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,3,221,667,380
29/07/2019,06:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,3,165,252,196
29/07/2019,06:15,WorldPay,WorldPayNotification_V1_0.notify,6,120491,120536,120511
29/07/2019,06:15,crm,PaymentManagement_V1_0.getOrderKey,31,746,792,766
29/07/2019,06:15,crm,PaymentManagement_V1_0.payment,56,1055,1103,1073
29/07/2019,06:15,nokia,ManageHandsetDetails_1_0.trigger,56,75,5506,439
29/07/2019,06:15,soaag,BillPaymentManagement_V1_0.billPayment,1,128121,128121,128121
29/07/2019,06:15,soaag,CustomerCreation_V1_0.createAccount,2,995,996,996
29/07/2019,06:15,soaag,IDMManagement_V1_0.getContacts,63,1339,26458,4841
29/07/2019,06:15,soaag,IDMManagement_V1_0.login,557,124,11231,694
29/07/2019,06:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,108,191,5785,482
29/07/2019,06:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,16,743,1394,970
29/07/2019,06:15,soaag,PaymentManagement_V1_0.validateBankAccount,5,194,230,211
29/07/2019,06:15,test11,CheckNumber_V1_0.checkNumber,10,289,687,498
29/07/2019,06:15,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,51,847,986,896
29/07/2019,06:15,thbs,AccountManagement_V1_0.getAccount,48,724,18974,2869
29/07/2019,06:15,thbs,AccountManagement_V1_0.getContacts,36,348,3627,1052
29/07/2019,06:15,thbs,BillingManagement_V1_0.billingAccount,2,257,3373,1815
29/07/2019,06:15,thbs,ContactManagement_V1_0.createContact,35,389,4053,831
29/07/2019,06:15,thbs,ContactManagement_V1_0.getContact,290,254,9686,954
29/07/2019,06:15,thbs,ContactManagement_V1_0.updateContact,7,450,1517,734
29/07/2019,06:15,thbs,CustomerBillManagement_V1_0.customerBill,3,117,483,255
29/07/2019,06:15,thbs,ManageOrderShipment_V1_0.createShipment,9,1051,1108,1082
29/07/2019,06:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,66,1966,15212,5255
29/07/2019,06:15,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,6,624,1699,1267
29/07/2019,06:15,thbs,ProductOrderingManagement_V1_0.createOrder,10,168,1588,385
29/07/2019,06:15,thbs,ProductOrderingManagement_V1_0.getOrder,358,565,28788,2242
29/07/2019,06:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,585,621,12921,1936
29/07/2019,06:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,58,917,10190,2066
29/07/2019,06:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,7,1731,2731,2099
29/07/2019,06:15,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,6,2284,3887,2910
29/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getAccount,54,842,18706,3215
29/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getContact,571,246,10022,1136
29/07/2019,06:15,thbs,SubscriptionManagement_V1_0.getSubscription,46,369,7814,1415
29/07/2019,06:15,thbs,UsageConsumption_V1_0.usageConsumptionReport,20,182,16396,1846
29/07/2019,06:15,thbs,WirelineManagement_V1_0.lineCapabilities,2,1275,1279,1277
29/07/2019,06:15,thbs,WirelineManagement_V1_0.lineOrderStatus,1,1337,1337,1337
29/07/2019,06:30,PARTY,PartyInteractionManagement_V1_0.getPartyInteraction,1,698,698,698
29/07/2019,06:30,soaag,AmountCharging_1_0.chargeAmount,4,482,4342,1545
29/07/2019,06:30,soaag,ManageTopUp_1_0.getCurrentBalance_1,13,120,763,317
29/07/2019,06:30,soaag,ReserveAmountCharging_1_0.reserveAmount,197,341,1176,415
29/07/2019,06:30,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,3,6078,7111,6474
29/07/2019,06:45,DOL,ProductOrderingManagement_V1_0.getOrder,1,2121,2121,2121
29/07/2019,06:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,19,120,361,172
29/07/2019,07:15,SFDC,AccountManagement_V1_0.createAccount,6,1648,5037,2994
29/07/2019,07:15,THBS,Communication_V1_0.notifyCustomer,202,995,2672,1044
29/07/2019,07:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,21,1101,1239,1147
29/07/2019,07:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,8,1091,1121,1111
29/07/2019,07:15,THBS,ManagePrepaidCard_V1_0.depositToCard,8,925,967,943
29/07/2019,07:15,THBS,ManagePrepaidCard_V1_0.merchantSale,7,805,844,820
29/07/2019,07:15,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,18,446,4505,1755
29/07/2019,07:15,THBS,WirelineManagement_V1_0.changeSubscriber,3,2182,2950,2543
29/07/2019,07:15,THBS,WirelineManagement_V1_0.createMemo,2,151,162,156
29/07/2019,07:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,40,580,4056,1418
29/07/2019,07:15,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,4,1267,2734,1983
29/07/2019,07:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,4,198,260,228
29/07/2019,07:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,3,229,961,537
29/07/2019,07:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,4,167,350,226
29/07/2019,07:15,WorldPay,WorldPayNotification_V1_0.notify,9,120473,120862,120627
29/07/2019,07:15,crm,PaymentManagement_V1_0.getOrderKey,36,742,1088,766
29/07/2019,07:15,crm,PaymentManagement_V1_0.payment,71,1054,1426,1097
29/07/2019,07:15,nokia,ManageHandsetDetails_1_0.trigger,66,77,1328,220
29/07/2019,07:15,soaag,BalanceManagement_1_0.balanceTopUp,289,692,4083,810
29/07/2019,07:15,soaag,BillPaymentManagement_V1_0.billPayment,5,305,1363,798
29/07/2019,07:15,soaag,CustomerCreation_V1_0.createAccount,2,990,1012,1001
29/07/2019,07:15,soaag,IDMManagement_V1_0.getContacts,98,1377,8235,3204
29/07/2019,07:15,soaag,IDMManagement_V1_0.login,747,121,4087,506
29/07/2019,07:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,158,111,1381,170
29/07/2019,07:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,166,193,2061,371
29/07/2019,07:15,soaag,ManageTopUp_1_0.topUpBillContract_1,1,2060,2060,2060
29/07/2019,07:15,soaag,ManageTopUp_1_0.topUp_2,160,808,2017,906
29/07/2019,07:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,15,541,1239,857
29/07/2019,07:15,soaag,PaymentManagement_V1_0.validateBankAccount,2,172,180,176
29/07/2019,07:15,test11,AmountCharging_1_0.chargeAmount,72,425,809,528
29/07/2019,07:15,test11,AmountCharging_1_0.refundAmount,5,427,2179,847
29/07/2019,07:15,test11,CheckNumber_V1_0.checkNumber,12,284,952,494
29/07/2019,07:15,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,53,850,1066,902
29/07/2019,07:15,test11,PartyInteractionManagement_V1_0.getPartyInteraction,6,615,3355,1413
29/07/2019,07:15,test11,PaymentManagement_V1_0.refund,6,127,646,299
29/07/2019,07:15,thbs,AccountManagement_V1_0.getAccount,48,703,6205,2163
29/07/2019,07:15,thbs,AccountManagement_V1_0.getContacts,42,326,3300,992
29/07/2019,07:15,thbs,BillingManagement_V1_0.billingAccount,2,210,272,241
29/07/2019,07:15,thbs,ContactManagement_V1_0.createContact,39,417,4003,983
29/07/2019,07:15,thbs,ContactManagement_V1_0.getContact,368,259,5078,782
29/07/2019,07:15,thbs,ContactManagement_V1_0.updateContact,9,297,1981,915
29/07/2019,07:15,thbs,CustomerBillManagement_V1_0.customerBill,4,115,251,162
29/07/2019,07:15,thbs,ManageOrderShipment_V1_0.createShipment,9,1060,1099,1084
29/07/2019,07:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,71,2147,9725,5224
29/07/2019,07:15,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,9,914,3130,1768
29/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.createOrder,9,164,2593,1250
29/07/2019,07:15,thbs,ProductOrderingManagement_V1_0.getOrder,545,499,5330,1454
