Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,91640
Total,91640

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
19/08/2019,05:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,20,1124,2968,1427
19/08/2019,05:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,8,1089,3160,1632
19/08/2019,05:00,THBS,ManagePrepaidCard_V1_0.depositToCard,7,940,1007,959
19/08/2019,05:00,THBS,ManagePrepaidCard_V1_0.merchantSale,8,799,875,829
19/08/2019,05:00,THBS,ManagePrepaidCard_V1_0.validateCard,6,1916,3943,2280
19/08/2019,05:00,THBS,ProductOfferingQualification_V1_0.getProductOfferingQualification,14,677,8736,3559
19/08/2019,05:00,THBS,WirelineManagement_V1_0.changeContract,1,3905,3905,3905
19/08/2019,05:00,THBS,WirelineManagement_V1_0.changeSubscriber,2,2650,8017,5334
19/08/2019,05:00,THBS,WirelineManagement_V1_0.createMemo,1,684,684,684
19/08/2019,05:00,THBS,WirelineManagement_V1_0.updateSubscriberDetails,2,6606,10388,8497
19/08/2019,05:00,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,60,628,24819,3663
19/08/2019,05:00,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,3,1682,8438,4251
19/08/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,4,264,4786,1569
19/08/2019,05:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,6,136,5551,1279
19/08/2019,05:00,WorldPay,WorldPayNotification_V1_0.notify,31,182,12376,1119
19/08/2019,05:00,crm,PaymentManagement_V1_0.getOrderKey,31,745,812,769
19/08/2019,05:00,crm,PaymentManagement_V1_0.payment,57,1053,1966,1139
19/08/2019,05:00,nokia,ManageHandsetDetails_1_0.trigger,58,126,17042,1188
19/08/2019,05:00,soaag,ABOXManagement_V1_0.changeStatus,1,6599,6599,6599
19/08/2019,05:00,soaag,BillPaymentManagement_V1_0.billPayment,3,1788,2444,2035
19/08/2019,05:00,soaag,CustomerCreation_V1_0.createAccount,2,1031,1087,1059
19/08/2019,05:00,soaag,IDMManagement_V1_0.getContacts,27,826,39642,4951
19/08/2019,05:00,soaag,IDMManagement_V1_0.login,527,137,26942,1280
19/08/2019,05:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,2,126915,128429,127672
19/08/2019,05:00,soaag,PaymentManagement_V1_0.getTokenizedCard,3,1274,3807,2703
19/08/2019,05:00,thbs,BillingManagement_V1_0.billingAccount,5,163,443,249
19/08/2019,05:00,thbs,ContactManagement_V1_0.createContact,37,776,19115,2917
19/08/2019,05:00,thbs,ContactManagement_V1_0.updateContact,5,867,5348,2257
19/08/2019,05:00,thbs,CustomerBillManagement_V1_0.customerBill,5,490,955,674
19/08/2019,05:00,thbs,ManageOrderShipment_V1_0.createShipment,5,1070,2150,1302
19/08/2019,05:00,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,7,848,5404,2356
19/08/2019,05:00,thbs,SubscriptionManagement_V1_0.getContact,608,157,30892,1386
19/08/2019,05:15,THBS,Communication_V1_0.notifyCustomer,33,1078,1877,1148
19/08/2019,05:15,soaag,PaymentManagement_V1_0.validateBankAccount,4,297,1834,861
19/08/2019,05:15,soaag,ReserveAmountCharging_1_0.reserveAmount,2,3007,5335,4171
19/08/2019,05:15,test11,AmountCharging_1_0.chargeAmount,56,409,1983,630
19/08/2019,05:15,test11,AmountCharging_1_0.refundAmount,5,396,994,543
19/08/2019,05:15,test11,CVFDocumentVerification_V1_0.cvfDocumentStatus,36,128,5891,887
19/08/2019,05:15,test11,CheckNumber_V1_0.checkNumber,9,1968,8089,4640
19/08/2019,05:15,test11,Communication_V1_0.notifyCustomer,130,1044,4443,1281
19/08/2019,05:15,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,53,859,2169,934
19/08/2019,05:15,test11,PartyInteractionManagement_V1_0.getPartyInteraction,12,795,7320,2688
19/08/2019,05:15,test11,PaymentManagement_V1_0.refund,3,228,1769,1194
19/08/2019,05:15,test11,ProductOrderingManagement_V1_0.getOrder,26,1426,28189,8701
19/08/2019,05:15,test11,SubscriptionManagement_V1_0.getSubscription,34,521,23401,6826
19/08/2019,05:15,thbs,AccountManagement_V1_0.getContacts,16,518,19168,6351
19/08/2019,05:15,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,94,262,8155,1915
19/08/2019,05:15,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,5,708,18002,7419
19/08/2019,05:15,thbs,ProductOrderingManagement_V1_0.createOrder,5,192,5771,2721
19/08/2019,05:15,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,728,479,28975,3103
19/08/2019,05:15,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,52,1013,26799,6540
19/08/2019,05:15,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,7,1737,9414,4348
19/08/2019,05:15,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,2,1894,2944,2419
19/08/2019,05:30,THBS,Communication_V1_0.notifyCustomer,58,1084,1938,1135
19/08/2019,05:30,soaag,PaymentManagement_V1_0.validateBankAccount,5,223,3030,1019
19/08/2019,05:30,soaag,ReserveAmountCharging_1_0.reserveAmount,1,560,560,560
19/08/2019,05:30,test11,AmountCharging_1_0.chargeAmount,11,423,627,509
19/08/2019,05:30,test11,AmountCharging_1_0.refundAmount,4,383,1785,782
19/08/2019,05:30,test11,CVFDocumentVerification_V1_0.cvfDocumentStatus,54,107,5476,1029
19/08/2019,05:30,test11,CheckNumber_V1_0.checkNumber,16,276,11264,3001
19/08/2019,05:30,test11,Communication_V1_0.notifyCustomer,167,1045,2383,1092
19/08/2019,05:30,test11,CreditVettingFraud_V1_0.cvfEligibityCheck,57,857,991,903
19/08/2019,05:30,test11,PartyInteractionManagement_V1_0.getPartyInteraction,17,318,10807,1791
19/08/2019,05:30,test11,PaymentManagement_V1_0.refund,5,134,3630,1016
19/08/2019,05:30,test11,ProductOfferingQualification_V1_0.checkProductOfferingQualification,5,1628,5321,3353
19/08/2019,05:30,test11,ProductOrderingManagement_V1_0.getOrder,19,2522,21711,8196
19/08/2019,05:30,test11,SubscriptionManagement_V1_0.getSubscription,54,508,25406,4106
19/08/2019,05:30,thbs,AccountManagement_V1_0.getContacts,33,392,6194,1569
19/08/2019,05:30,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,112,255,10353,1203
19/08/2019,05:30,thbs,ProductOfferingQualification_V1_0.getProductOfferingQualification,5,887,6031,3798
19/08/2019,05:30,thbs,ProductOrderingManagement_V1_0.createOrder,21,146,3704,1530
19/08/2019,05:30,thbs,ProductOrderingManagement_V1_0.modifyOrder,6,288,6563,2030
19/08/2019,05:30,thbs,ProfileAndPermissionsMgmt_V1_0.getPermissions,1418,466,27964,1707
19/08/2019,05:30,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,74,971,23514,4532
