Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,36840
Total,36840

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
29/08/2019,19:37,THBS,Communication_V1_0.notifyCustomer,1,1105,1105,1105
29/08/2019,19:45,THBS,CheckNumber_V1_0.checkNumber,25,618,737,653
29/08/2019,19:45,THBS,Communication_V1_0.notifyCustomer,1134,1068,2015,1093
29/08/2019,19:45,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,27,1090,2270,1152
29/08/2019,19:45,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,15,1062,1107,1084
29/08/2019,19:45,THBS,ManagePrepaidCard_V1_0.depositToCard,10,914,941,925
29/08/2019,19:45,THBS,ManagePrepaidCard_V1_0.merchantSale,11,775,797,788
29/08/2019,19:45,THBS,ManagePrepaidCard_V1_0.validateCard,10,1877,1930,1900
29/08/2019,19:45,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,62,3108,4858,3867
29/08/2019,19:45,THBS,WirelineManagement_V1_0.createMemo,4,1108,1115,1112
29/08/2019,19:45,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,67,2747,4990,3130
29/08/2019,19:45,UNKNOWN,ManageAddOn_1_0.addAddOn_2,5,5069,5161,5111
29/08/2019,19:45,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,7,777,1370,966
29/08/2019,19:45,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,5,5076,5325,5145
29/08/2019,19:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,8,696,799,739
29/08/2019,19:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,8,1150,1211,1172
29/08/2019,19:45,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,5,89,614,422
29/08/2019,19:45,crm,PaymentManagement_V1_0.getOrderKey,65,742,1576,760
29/08/2019,19:45,crm,PaymentManagement_V1_0.payment,88,1055,1185,1063
29/08/2019,19:45,nokia,ManageHandsetDetails_1_0_Stubs.trigger,91,1046,1474,1067
29/08/2019,19:45,soaag,ABOXManagement_V1_0.changeStatus,2,1161,1169,1165
29/08/2019,19:45,soaag,BalanceManagement_1_0.balanceTopUp,312,931,2604,1145
29/08/2019,19:45,soaag,BillPaymentManagement_V1_0.billPayment,6,1701,3172,2194
29/08/2019,19:45,soaag,CustomerCreation_V1_0.createAccount,5,954,992,978
29/08/2019,19:45,soaag,IDMManagement_V1_0.getContacts,93,3724,5126,3928
29/08/2019,19:45,soaag,IDMManagement_V1_0.login,588,289,4951,370
29/08/2019,19:45,soaag,ManageTopUp_1_0.getCurrentBalance_1,128,599,721,612
29/08/2019,19:45,soaag,ManageTopUp_1_0.getTopUpHistory_1,1149,854,2083,901
29/08/2019,19:45,soaag,ManageTopUp_1_0.topUpBillContract_1,3,1789,1796,1791
29/08/2019,19:45,soaag,ManageTopUp_1_0.topUp_2,137,955,2346,1048
29/08/2019,19:45,soaag,ManageUpgrade_1_0.getUpgradeEligibility,25,3092,3621,3131
29/08/2019,19:45,soaag,PaymentManagement_V1_0.getTokenizedCard,6,955,1488,1141
29/08/2019,19:45,soaag,PaymentManagement_V1_0.validateBankAccount,7,595,610,600
29/08/2019,19:45,soaag,ReserveAmountCharging_1_0.reserveAmount,10,657,784,723
29/08/2019,19:45,test111,AmountCharging_1_0.chargeAmount,116,704,809,730
29/08/2019,19:45,test111,AmountCharging_1_0.refundAmount,15,367,2340,619
29/08/2019,19:45,test111,CreditVettingFraud_V1_0.cvfEligibityCheck,76,669,1436,688
29/08/2019,19:45,test111,CreditVettingFraud_V1_0.updateCreditDetails,15,4077,4379,4142
29/08/2019,19:45,test111,NumberPortability_V1_0.portIn,12,1561,1639,1579
29/08/2019,19:45,test111,OrderManagement_V1_0.updateOrderDetails,26,2094,2674,2137
29/08/2019,19:45,test111,PaymentManagement_V1_0.refund,7,1050,1070,1062
29/08/2019,19:45,test111,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,9,3195,3240,3213
29/08/2019,19:45,test111,ProfileAndPermissionsMgmt_V1_0.getPermissions,36,3342,4452,3556
29/08/2019,19:45,thbs,AccountManagement_V1_0.createAccount,14,3378,3844,3446
29/08/2019,19:45,thbs,AccountManagement_V1_0.getAccount,74,2091,4555,2250
29/08/2019,19:45,thbs,AccountManagement_V1_0.getContacts,60,758,2260,851
29/08/2019,19:45,thbs,BillingManagement_V1_0.billingAccount,9,597,643,617
29/08/2019,19:45,thbs,ContactManagement_V1_0.createContact,99,1114,1625,1139
29/08/2019,19:45,thbs,ContactManagement_V1_0.getContact,458,1131,3117,1212
29/08/2019,19:45,thbs,ContactManagement_V1_0.updateContact,15,1108,1932,1174
29/08/2019,19:45,thbs,CustomerBillManagement_V1_0.customerBill,5,1074,1103,1094
29/08/2019,19:45,thbs,GeographicSiteManagement_V1_0.geographicSite,3,7263,7340,7310
29/08/2019,19:45,thbs,ManageOrderShipment_V1_0.createShipment,9,1052,1085,1062
29/08/2019,19:45,thbs,PartyInteractionManagement_V1_0.closeCustomerProblem,46,3246,3847,3327
29/08/2019,19:45,thbs,PartyInteractionManagement_V1_0.createPartyInteraction,76,763,3192,932
29/08/2019,19:45,thbs,PartyInteractionManagement_V1_0.getPartyInteraction,279,743,5121,2606
29/08/2019,19:45,thbs,PartyInteractionManagement_V1_0.reOpenCustomerProblem,12,762,1022,809
29/08/2019,19:45,thbs,ProductOrderingManagement_V1_0.createOrder,16,127,495,166
29/08/2019,19:45,thbs,ProductOrderingManagement_V1_0.getOrder,1772,203,6871,255
29/08/2019,19:45,thbs,ProductOrderingManagement_V1_0.modifyOrder,25,4032,5468,4299
29/08/2019,19:45,thbs,ProfileAndPermissionsMgmt_V1_0.getProfile,117,2705,4046,2830
29/08/2019,19:45,thbs,ProfileAndPermissionsMgmt_V1_0.updatePermissions,71,3778,9661,4070
29/08/2019,19:45,thbs,SMSPermissionsMgmt_V1_0.getKeywordPermissions,12,3595,4218,3761
29/08/2019,19:45,thbs,SMSPermissionsMgmt_V1_0.updateKeywordPermissions,20,3936,4165,4026
29/08/2019,19:45,thbs,SubscriptionManagement_V1_0.changeStatus,7,1106,1161,1138
29/08/2019,19:45,thbs,SubscriptionManagement_V1_0.getAccount,84,2117,3236,2224
29/08/2019,19:45,thbs,SubscriptionManagement_V1_0.getContact,797,1020,2728,1103
29/08/2019,19:45,thbs,SubscriptionManagement_V1_0.getSubscription,51,2610,4150,2728
29/08/2019,19:45,thbs,SubscriptionManagement_V1_0.setContact,58,347,629,373
29/08/2019,19:45,thbs,UsageConsumption_V1_0_Stubs.usageConsumptionReport,28,407,463,423
29/08/2019,19:45,thbs,WirelineManagement_V1_0.lineCapabilities,1,1252,1252,1252
29/08/2019,19:45,thbs,WirelineManagement_V1_0.lineOrderStatus,1,1291,1291,1291
29/08/2019,19:45,three,ManagePrepaidBalance_1_0.lendMe,9,5728,6509,5903
29/08/2019,19:45,worldPay,WorldPayNotification_V1_0.notify,43,107,1435,545
29/08/2019,20:00,THBS,CheckNumber_V1_0.checkNumber,40,621,755,652
29/08/2019,20:00,THBS,Communication_V1_0.notifyCustomer,1547,1071,3584,1129
29/08/2019,20:00,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,46,1095,2438,1169
29/08/2019,20:00,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,14,1065,1122,1088
29/08/2019,20:00,THBS,ManagePrepaidCard_V1_0.depositToCard,22,913,944,927
29/08/2019,20:00,THBS,ManagePrepaidCard_V1_0.merchantSale,23,775,1735,832
29/08/2019,20:00,THBS,ManagePrepaidCard_V1_0.validateCard,18,1879,1945,1899
29/08/2019,20:00,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,105,3109,6838,3893
29/08/2019,20:00,THBS,WirelineManagement_V1_0.createMemo,7,1105,1779,1254
29/08/2019,20:00,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,132,2759,5286,3093
29/08/2019,20:00,UNKNOWN,ManageAddOn_1_0.addAddOn_2,9,5105,5343,5176
29/08/2019,20:00,UNKNOWN,ManageAddOn_1_0.checkAddOn_1,15,813,1394,958
29/08/2019,20:00,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,9,5078,5203,5139
29/08/2019,20:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,11,713,813,775
29/08/2019,20:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,12,1142,1579,1241
29/08/2019,20:00,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,12,42,547,310
29/08/2019,20:00,crm,PaymentManagement_V1_0.getOrderKey,116,742,2063,771
29/08/2019,20:00,crm,PaymentManagement_V1_0.payment,177,1056,2957,1104
29/08/2019,20:00,nokia,ManageHandsetDetails_1_0_Stubs.trigger,196,1044,2694,1099
29/08/2019,20:00,soaag,ABOXManagement_V1_0.changeStatus,8,1144,1198,1174
29/08/2019,20:00,soaag,BalanceManagement_1_0.balanceTopUp,1027,932,3382,1141
29/08/2019,20:00,soaag,BillPaymentManagement_V1_0.billPayment,11,1716,3642,2566
29/08/2019,20:00,soaag,CustomerCreation_V1_0.createAccount,5,985,1034,1011
29/08/2019,20:00,soaag,IDMManagement_V1_0.getContacts,195,3759,8234,4043
29/08/2019,20:00,soaag,IDMManagement_V1_0.login,1869,291,2667,361
29/08/2019,20:00,soaag,ManageTopUp_1_0.getCurrentBalance_1,385,599,2218,625
29/08/2019,20:00,soaag,ManageTopUp_1_0.getTopUpHistory_1,4357,856,3412,912
29/08/2019,20:00,soaag,ManageTopUp_1_0.topUpBillContract_1,1,1812,1812,1812
29/08/2019,20:00,soaag,ManageTopUp_1_0.topUp_2,402,953,2673,1052
29/08/2019,20:00,soaag,ManageUpgrade_1_0.getUpgradeEligibility,38,3099,3553,3140
29/08/2019,20:00,soaag,PaymentManagement_V1_0.getTokenizedCard,14,957,1601,1057
29/08/2019,20:00,soaag,PaymentManagement_V1_0.validateBankAccount,11,584,635,609
29/08/2019,20:00,soaag,ReserveAmountCharging_1_0.reserveAmount,17,675,2236,843
29/08/2019,20:00,test111,AmountCharging_1_0.chargeAmount,145,711,8841,940
29/08/2019,20:00,test111,AmountCharging_1_0.refundAmount,19,369,2092,519
29/08/2019,20:00,test111,CreditVettingFraud_V1_0.cvfEligibityCheck,175,669,2397,696
29/08/2019,20:00,test111,CreditVettingFraud_V1_0.updateCreditDetails,14,4085,4490,4169
29/08/2019,20:00,test111,NumberPortability_V1_0.portIn,18,1566,1618,1590
