Server,Transactions
ieo2wlzsoax02/10.142.4.19/soa_server2,554390
Total,554390

Date,Time,Application,Service,No. of Requests,Min Time(ms),Max Time(ms),Avg Time(ms)
11/07/2019,00:15,SFDC,AccountManagement_V1_0.createAccount,10,6255,6778,6445
11/07/2019,00:15,THBS,CheckNumber_V1_0.checkNumber,11,904,3429,1618
11/07/2019,00:15,THBS,Communication_V1_0.notifyCustomer,122,1036,1170,1056
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.cardEnquiryMobile,11,1098,1149,1112
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.checkSaleStatus,7,1064,1083,1073
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.depositToCard,5,910,933,925
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.merchantSale,5,774,801,787
11/07/2019,00:15,THBS,ManagePrepaidCard_V1_0.validateCard,6,1884,1948,1902
11/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.checkProductOfferingQualification,5,3159,5283,3672
11/07/2019,00:15,THBS,ProductOfferingQualification_V1_0_Stubs.getProductOfferingQualification,14,3640,5766,4357
11/07/2019,00:15,THBS,WirelineManagement_V1_0.changeContract,2,4166,4171,4168
11/07/2019,00:15,THBS,WirelineManagement_V1_0.changeSubscriber,2,4165,5702,4934
11/07/2019,00:15,THBS,WirelineManagement_V1_0.lineOrderStatus,1,1235,1235,1235
11/07/2019,00:15,THBS,WirelineManagement_V1_0.orderFulfillment,5,5154,6775,5499
11/07/2019,00:15,THBS,WirelineManagement_V1_0.updateSubscriberDetails,1,7009,7009,7009
11/07/2019,00:15,UNKNOWN,ManageAccount_1_0.getAccountDetails_2,22,2769,3182,2881
11/07/2019,00:15,UNKNOWN,ManageAddOn_1_0.addAddOn_2,3,8831,11437,9761
11/07/2019,00:15,UNKNOWN,ManageAddOn_1_0.removeAddOn_2,2,5966,6456,6211
11/07/2019,00:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getAllowanceUsageInfo_1,4,703,750,719
11/07/2019,00:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getBillDetails_1,2,1140,1169,1154
11/07/2019,00:15,UNKNOWN,O2IE_ManageBillDetails_1_0.getUnbilledAmount_1,3,62,101,77
11/07/2019,00:15,WorldPay,WorldPayNotification_V1_0.notify,21,1165,1426,1253
11/07/2019,00:15,crm,PaymentManagement_V1_0.getOrderKey,21,741,763,746
11/07/2019,00:15,crm,PaymentManagement_V1_0.payment,41,1053,1189,1067
11/07/2019,00:15,crm,PaymentManagement_V1_0.refund,3,1038,1708,1269
11/07/2019,00:15,nokia,ManageHandsetDetails_1_0_Stubs.trigger,35,1046,1309,1079
11/07/2019,00:15,soaag,ABOXManagement_V1_0.changeStatus,2,1137,1166,1152
11/07/2019,00:15,soaag,AmountCharging_1_0.chargeAmount,27,709,956,744
11/07/2019,00:15,soaag,AmountCharging_1_0.refundAmount,5,363,431,395
11/07/2019,00:15,soaag,BalanceManagement_1_0.balanceTopUp,141,933,1292,1102
11/07/2019,00:15,soaag,BillPaymentManagement_V1_0.billPayment,2,3178,3349,3264
11/07/2019,00:15,soaag,CreditVettingFraud_V1_0.cvfEligibityCheck,25,669,686,674
11/07/2019,00:15,soaag,CreditVettingFraud_V1_0.cvfEligibityStatus,27,3151,5288,3321
11/07/2019,00:15,soaag,CustomerCreation_V1_0.createAccount,2,973,991,982
11/07/2019,00:15,soaag,IDMManagement_V1_0.getContacts,20,7049,10366,7852
11/07/2019,00:15,soaag,IDMManagement_V1_0.login,286,290,1130,348
11/07/2019,00:15,soaag,ManageTopUp_1_0.getCurrentBalance_1,59,603,636,614
11/07/2019,00:15,soaag,ManageTopUp_1_0.getTopUpHistory_1,897,856,1049,888
11/07/2019,00:15,soaag,ManageTopUp_1_0.topUpBillContract_1,2,1723,1734,1728
11/07/2019,00:15,soaag,ManageTopUp_1_0.topUp_2,60,953,1098,1018
11/07/2019,00:15,soaag,ManageUpgrade_1_0.getUpgradeEligibility,10,3102,5731,3645
11/07/2019,00:15,soaag,PaymentManagement_V1_0.getTokenizedCard,4,979,1112,1048
11/07/2019,00:15,soaag,PaymentManagement_V1_0.validateBankAccount,2,624,1284,954
11/07/2019,00:15,soaag,ReserveAmountCharging_1_0.chargeReservation,5,374,588,426
11/07/2019,00:15,soaag,ReserveAmountCharging_1_0.releaseReservation,6,292,344,314
11/07/2019,00:15,soaag,ReserveAmountCharging_1_0.reserveAmount,4,671,868,748
11/07/2019,00:15,thbs,AccountManagement_V1_0.getAccount,20,3517,4644,3829
11/07/2019,00:15,thbs,AccountManagement_V1_0.getContacts,26,728,1433,844
11/07/2019,00:15,thbs,BillingManagement_V1_0.billingAccount,4,600,699,628
11/07/2019,00:15,thbs,ContactManagement_V1_0.createContact,16,1120,1480,1158
11/07/2019,00:15,thbs,ContactManagement_V1_0.getContact,232,1132,2076,1195
11/07/2019,00:15,thbs,ContactManagement_V1_0.updateContact,5,1111,1300,1155
11/07/2019,00:15,thbs,CustomerBillManagement_V1_0.customerBill,4,1074,1803,1268
11/07/2019,00:15,thbs,GeographicSiteManagement_V1_0.geographicSite,4,7874,10150,8596
11/07/2019,00:15,thbs,ManageOrderShipment_V1_0.createShipment,4,1050,1073,1063
11/07/2019,00:15,thbs,NumberPortability_V1_0.portIn,96,1524,1776,1544
11/07/2019,00:15,thbs,OrderManagement_V1_0.updateOrderDetails,9,2063,2108,2075
